Name,Code,Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
ラルフ ローレン,RL,2019-07-23,2024-07-23,0.1,55.1,0.1,0.2,0.1,-0.2,551 days 00:00:00,28,46.4,40.6,-10.9,1.5,179 days 00:00:00,72 days 00:00:00,1.6,2.4,0.6,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
スターバックス,SBUX,2019-07-23,2024-07-23,-0.1,-15.1,0.0,0.0,0.0,-0.2,1047 days,19,36.8,15.2,-14.6,-1.8,113 days,36 days,0.7,-1.4,-1.2,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
スターバックス,SBUX,2019-07-23,2024-07-23,-0.1,-15.1,0.0,0.0,0.0,-0.2,1047 days 00:00:00,19,21.1,24.1,-14.6,-3.5,148 days 00:00:00,43 days 00:00:00,0.6,-2.9,-2.1,"VR(tp=20,n=10,sl=7,duration=180,size=100)"
スターバックス,SBUX,2019-07-23,2024-07-23,-0.1,-15.1,0.0,0.0,0.0,-0.2,1047 days 00:00:00,19,21.1,36.9,-14.6,-2.3,148 days 00:00:00,45 days 00:00:00,0.8,-1.3,-1.3,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,0.0,-35.3,0.0,0.0,0.0,-0.3,1048 days 00:00:00,37,40.5,20.4,-9.2,-0.2,181 days 00:00:00,41 days 00:00:00,1.1,0.3,0.1,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,0.1,-35.3,0.2,0.2,0.0,-0.3,1048 days 00:00:00,37,35.1,30.3,-11.5,0.6,181 days 00:00:00,56 days 00:00:00,1.3,1.5,0.5,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,0.3,-35.3,0.3,0.6,0.1,-0.4,1233 days 00:00:00,37,35.1,48.3,-11.5,2.3,181 days 00:00:00,71 days 00:00:00,1.7,3.7,1.1,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,-0.1,-35.3,0.0,0.0,0.0,-0.1,1596 days 00:00:00,7,0.0,-7.3,-17.6,-9.6,54 days 00:00:00,17 days 00:00:00,0.0,-9.5,-6.7,"RSI(tp=10,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,-0.1,-35.3,0.0,0.0,0.0,-0.1,1596 days 00:00:00,7,0.0,-7.3,-17.6,-9.6,54 days 00:00:00,17 days 00:00:00,0.0,-9.5,-6.7,"RSI(tp=20,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,-0.1,-35.3,0.0,0.0,0.0,-0.1,1596 days 00:00:00,7,0.0,-7.3,-17.6,-9.6,54 days 00:00:00,17 days 00:00:00,0.0,-9.5,-6.7,"RSI(tp=30,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,-0.2,-35.3,0.0,0.0,0.0,-0.2,1609 days 00:00:00,23,21.7,16.4,-12.0,-4.2,100 days 00:00:00,34 days 00:00:00,0.4,-3.9,-2.3,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,-0.2,-35.3,0.0,0.0,0.0,-0.2,1609 days 00:00:00,23,17.4,25.7,-12.0,-3.5,129 days 00:00:00,40 days 00:00:00,0.6,-2.8,-1.3,"VR(tp=20,n=10,sl=7,duration=180,size=100)"
ウォルト ディズニー,DIS,2019-07-23,2024-07-23,-0.1,-35.3,0.0,0.0,0.0,-0.2,671 days 00:00:00,23,17.4,43.4,-12.0,-1.9,129 days 00:00:00,41 days 00:00:00,0.9,-0.8,-0.3,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
トランス ダイム グループ,TDG,2019-07-23,2024-07-23,1.6,162.1,0.8,1.5,0.8,-0.4,826 days 00:00:00,27,66.7,20.6,-15.7,4.7,105 days 00:00:00,28 days 00:00:00,2.7,5.3,2.2,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
トランス ダイム グループ,TDG,2019-07-23,2024-07-23,2.3,162.1,0.7,1.1,0.4,-1.1,869 days 00:00:00,27,63.0,33.5,-15.7,6.5,181 days 00:00:00,76 days 00:00:00,3.6,7.5,2.5,"VR(tp=20,n=10,sl=7,duration=180,size=100)"
トランス ダイム グループ,TDG,2019-07-23,2024-07-23,3.3,162.1,0.8,1.3,0.6,-1.2,869 days 00:00:00,27,63.0,38.0,-15.7,8.9,181 days 00:00:00,93 days 00:00:00,4.5,10.3,2.8,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
ユナイテッド エアラインズ ホールディングス,UAL,2019-07-23,2024-07-23,-0.0,-48.8,0.0,0.0,0.0,-0.1,1623 days 00:00:00,21,52.4,18.9,-24.8,0.7,53 days 00:00:00,16 days 00:00:00,1.3,1.4,-0.2,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
ユナイテッド エアラインズ ホールディングス,UAL,2019-07-23,2024-07-23,-0.1,-48.8,0.0,0.0,0.0,-0.1,1623 days 00:00:00,21,33.3,28.7,-24.8,-2.1,109 days 00:00:00,25 days 00:00:00,0.9,-0.9,-1.1,"VR(tp=20,n=10,sl=7,duration=180,size=100)"
ユナイテッド エアラインズ ホールディングス,UAL,2019-07-23,2024-07-23,-0.1,-48.8,0.0,0.0,0.0,-0.1,1623 days 00:00:00,21,28.6,45.5,-24.8,-1.3,161 days 00:00:00,35 days 00:00:00,1.1,0.5,-0.8,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-05,2024-07-03,-0.1,-79.9,0.0,0.0,0.0,-0.1,1580 days 00:00:00,50,28.0,18.3,-16.3,-3.1,152 days 00:00:00,32 days 00:00:00,0.6,-2.7,-2.0,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-05,2024-07-03,-0.1,-79.9,0.0,0.0,0.0,-0.1,1580 days 00:00:00,50,20.0,26.4,-16.3,-2.9,152 days 00:00:00,41 days 00:00:00,0.7,-2.3,-1.4,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-05,2024-07-03,-0.2,-79.9,0.0,0.0,0.0,-0.2,1695 days 00:00:00,50,16.0,35.2,-18.7,-5.1,179 days 00:00:00,55 days 00:00:00,0.4,-4.4,-2.9,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-05,2024-07-03,0.0,-79.9,0.1,0.1,0.0,-0.0,265 days 00:00:00,5,40.0,13.4,-8.1,0.3,33 days 00:00:00,20 days 00:00:00,1.2,0.8,0.2,"RSI(tp=10,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-05,2024-07-03,0.0,-79.9,0.3,0.5,0.2,-0.0,265 days 00:00:00,5,40.0,27.2,-8.1,4.2,81 days 00:00:00,36 days 00:00:00,2.4,5.2,0.7,"RSI(tp=20,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-05,2024-07-03,-0.0,-79.9,0.0,0.0,0.0,-0.0,589 days 00:00:00,5,20.0,9.3,-8.1,-3.5,182 days 00:00:00,84 days 00:00:00,0.4,-3.3,-0.7,"RSI(tp=30,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-23,2024-07-23,-0.1,-79.8,0.0,0.0,0.0,-0.1,1660 days 00:00:00,20,20.0,11.4,-18.1,-4.8,119 days 00:00:00,44 days 00:00:00,0.3,-4.5,-1.9,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-23,2024-07-23,-0.1,-79.8,0.0,0.0,0.0,-0.1,924 days 00:00:00,20,10.0,23.5,-18.1,-6.2,181 days 00:00:00,59 days 00:00:00,0.2,-5.9,-2.9,"VR(tp=20,n=10,sl=7,duration=180,size=100)"
ウォルグリーン ブーツ アライアンス,WBA,2019-07-23,2024-07-23,-0.1,-79.8,0.0,0.0,0.0,-0.1,924 days 00:00:00,20,10.0,33.5,-18.1,-5.8,181 days 00:00:00,62 days 00:00:00,0.3,-5.4,-2.1,"VR(tp=30,n=10,sl=7,duration=180,size=100)"
