Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,VR_Win Rate [%],VR_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,MAX52w_Win Rate [%],MAX52w_SQN,MAX30d_Win Rate [%],MAX30d_SQN,RSI_Win Rate [%],RSI_SQN
飯田グループホールディングス,3291,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
コスモス薬品,3349,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
シップヘルスケアホールディングス,3360,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ツルハホールディングス,3391,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
トリドールホールディングス,3397,2024-08-16,0,0,0,0,0,1,45.45454545,0.540649594,,,,,,,,
帝人,3401,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
東レ,3402,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
クラレ,3405,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＳＵＭＣＯ,3436,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
クスリのアオキホールディングス,3549,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ワコールホールディングス,3591,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＴＩＳ,3626,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
コーエーテクモホールディングス,3635,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ネクソン,3659,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＳＨＩＦＴ,3697,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ガンホー・オンライン・エンターテイメント,3765,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＧＭＯペイメントゲートウェイ,3769,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
インターネットイニシアティブ,3774,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
王子ホールディングス,3861,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
大王製紙,3880,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ラクス,3923,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
レンゴー,3941,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
マネーフォワード,3994,2024-08-16,0,0,0,0,0,1,41.66666667,-0.3774162554,,,,,,,,
レゾナック・ホールディングス,4004,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
住友化学,4005,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日産化学,4021,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
東ソー,4042,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
トクヤマ,4043,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
東亞合成,4045,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
デンカ,4061,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
イビデン,4062,2024-08-16,0,0,0,0,0,1,46.42857143,0.7222879008,,,,,,,,
エア・ウォーター,4088,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本酸素ホールディングス,4091,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本触媒,4114,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
カネカ,4118,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
協和キリン,4151,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
三菱瓦斯化学,4182,2024-08-16,0,0,0,0,0,1,50,1.240094591,,,,,,,,
三井化学,4183,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＪＳＲ,4185,2024-06-24,0,0,0,0,0,0,,,,,,,,,,
東京応化工業,4186,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ダイセル,4202,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
住友ベークライト,4203,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
積水化学工業,4204,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本ゼオン,4205,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
アイカ工業,4206,2024-08-16,0,0,0,0,0,1,33.33333333,-1.192960398,,,,,,,,
ＵＢＥ,4208,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本化薬,4272,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
野村総合研究所,4307,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
電通グループ,4324,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
メルカリ,4385,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＡＤＥＫＡ,4401,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日油,4403,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＪＭＤＣ,4483,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本新薬,4516,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
科研製薬,4521,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ロート製薬,4527,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
小野薬品工業,4528,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
久光製薬,4530,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
参天製薬,4536,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ツムラ,4540,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
Ｈ．Ｕ．グループホールディングス,4544,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ペプチドリーム,4587,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本ペイントホールディングス,4612,2024-08-16,0,0,0,0,0,1,42.85714286,-0.09145725624,,,,,,,,
関西ペイント,4613,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＤＩＣ,4631,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ダスキン,4665,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
パーク２４,4666,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
フジ・メディア・ホールディングス,4676,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
リゾートトラスト,4681,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
オービック,4684,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
トレンドマイクロ,4704,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本オラクル,4716,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ユー・エス・エス,4732,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
オービックビジネスコンサルタント,4733,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
サイバーエージェント,4751,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
楽天グループ,4755,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
大塚商会,4768,2024-08-16,0,0,0,1,0,0,,,,,,,48.38709677,0.3982595827,,
サワイグループホールディングス,4887,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
コニカミノルタ,4902,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ライオン,4912,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ミルボン,4919,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ファンケル,4921,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
コーセー,4922,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ポーラ・オルビスホールディングス,4927,2024-08-16,0,0,0,1,0,0,,,,,,,32,-0.9587197147,,
小林製薬,4967,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
デクセリアルズ,4980,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
出光興産,5019,2024-08-16,0,0,0,1,0,0,,,,,,,50,0.1219434427,,
コスモエネルギーホールディングス,5021,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
インフロニア・ホールディングス,5076,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
横浜ゴム,5101,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＴＯＹＯ　ＴＩＲＥ,5105,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
住友ゴム工業,5110,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＡＧＣ,5201,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本電気硝子,5214,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
住友大阪セメント,5232,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
太平洋セメント,5233,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
東海カーボン,5301,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＴＯＴＯ,5332,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本碍子,5333,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本特殊陶業,5334,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
神戸製鋼所,5406,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＪＦＥホールディングス,5411,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
大和工業,5444,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
丸一鋼管,5463,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
大同特殊鋼,5471,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
日本製鋼所,5631,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
三井金属鉱業,5706,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
三菱マテリアル,5711,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
住友金属鉱山,5713,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
ＤＯＷＡホールディングス,5714,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
古河電気工業,5801,2024-08-16,0,0,0,0,0,0,,,,,,,,,,
フジクラ,5803,2024-08-16,0,0,0,1,1,0,,,,,39.28571429,1.903116292,47.61904762,2.600589633,,
