Name,Code,Date,Close,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,vr_day
ローム,6963,2024-06-14,2136.0,-35.8,5.4,-15.7,178.6
ASML ホールディング NYRS,ASML,2024-06-14,1027.9,26.2,1.4,-0.6,145.0
