Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN,Price_0d,PL_0d,Price_1d,PL_1d,Price_2d,PL_2d,Price_3d,PL_3d,Price_4d,PL_4d,Price_5d,PL_5d,Price_6d,PL_6d,Price_7d,PL_7d,Price_8d,PL_8d,Price_9d,PL_9d,Price_10d,PL_10d,Price_11d,PL_11d,Price_12d,PL_12d,Price_13d,PL_13d,Price_14d,PL_14d,Price_20d,PL_20d,Price_21d,PL_21d,Price_22d,PL_22d,Price_27d,PL_27d,Price_28d,PL_28d,Price_29d,PL_29d,Price_59d,PL_59d,Price_60d,PL_60d,Price_61d,PL_61d
アンシス,ANSS,2024-11-07,0,0,0,1,0,0,0,50.0,0.516395841,67.74193548,1.806981058,65.78947368,2.151961585,63.41463415,1.417609073,0.0,-10.06167628,55.0,1.709034038,62.66666667,2.423231082,58.33333333,0.219084098,46.42857143,-0.980167669,341.1,0.0,340.8,-0.1,341.5,0.1,342.5,0.4,343.7,0.8,339.0,-0.6,331.5,-2.8,331.7,-2.8,331.7,-2.8,337.4,-1.1,342.4,0.4,348.4,2.1,347.0,1.7,347.9,2.0,343.9,0.8208736440926281,,,,,,,,,,,,,,,,,,
エイピーエイ,APA,2024-11-07,0,0,1,0,0,0,1,62.5,0.960904152,58.33333333,1.139443025,46.51162791,1.198804858,38.63636364,1.079811633,66.66666667,1.129987256,45.94594595,0.539643052,41.66666667,-0.457750179,36.66666667,0.013687825,38.88888889,-0.744370167,21.9,0.0,21.1,-3.7,21.4,-2.3,21.9,0.0,21.4,-2.3,22.1,0.9,22.2,1.4,22.3,1.8,21.9,0.0,22.0,0.5,22.2,1.4,22.3,1.8,22.4,2.3,22.2,1.4,22.4,2.2831050228310503,,,,,,,,,,,,,,,,,,
アプティブ,APTV,2024-11-07,0,1,1,0,0,1,0,40.0,-0.237509246,65.0,0.982415468,37.5,0.70936973,50.0,1.754615414,0.0,-6.782417596,26.19047619,-0.989409416,43.44827586,0.503212978,36.66666667,0.163063503,34.7826087,-1.833803364,54.1,0.0,54.6,0.9,55.6,2.8,55.1,1.8,55.6,2.8,54.0,-0.2,52.1,-3.7,52.2,-3.5,51.5,-4.8,51.9,-4.1,52.0,-3.9,53.3,-1.5,55.5,2.6,54.9,1.5,55.2,2.0332717190388196,,,,,,,,,,,,,,,,,,
アリスタ ネットワークス,ANET,2024-11-07,0,0,0,1,1,0,0,100.0,3.15771374,100.0,6.316292867,64.47368421,4.530526045,70.0,3.904013335,64.70588235,3.871793432,80.64516129,4.434676139,64.90066225,6.35184602,61.66666667,3.292828392,59.64912281,3.475655975,424.6,0.0,397.5,-6.4,390.2,-8.1,393.7,-7.3,392.2,-7.6,384.5,-9.4,372.2,-12.3,369.3,-13.0,368.4,-13.2,375.0,-11.7,391.0,-7.9,399.7,-5.9,395.5,-6.9,402.5,-5.2,394.2,-7.15967969853981,,,,,,,,,,,,,,,,,,
バクスター インターナショナル,BAX,2024-11-07,0,0,0,0,0,0,1,37.5,-1.136328324,66.66666667,0.992827769,36.36363636,-0.51089763,42.30769231,0.813423414,0.0,0.0,47.5,-0.336502198,40.68965517,-3.577150818,38.33333333,-1.583224751,26.08695652,-2.418585214,35.1,0.0,33.8,-3.7,33.9,-3.4,33.5,-4.6,32.6,-7.1,31.6,-10.0,31.6,-10.0,31.8,-9.4,32.3,-8.0,31.8,-9.4,32.3,-8.0,33.0,-6.0,33.2,-5.4,32.6,-7.1,33.0,-5.9829059829059865,,,,,,,,,,,,,,,,,,
ベクトン ディッキンソン,BDX,2024-11-07,0,1,1,0,0,1,1,46.66666667,0.634507108,77.77777778,1.437699063,73.68421053,3.613512399,74.28571429,3.229437052,0.0,-4.907565038,71.42857143,2.550333342,51.89873418,-0.216599333,53.33333333,0.740525174,37.5,-1.646798238,226.8,0.0,226.2,-0.3,232.0,2.3,231.1,1.9,229.1,1.0,225.5,-0.6,223.5,-1.5,224.0,-1.2,220.5,-2.8,220.8,-2.6,221.0,-2.6,223.1,-1.6,223.9,-1.3,222.7,-1.8,220.4,-2.8218694885361573,,,,,,,,,,,,,,,,,,
バイオジェン,BIIB,2024-11-07,0,0,1,0,0,0,0,62.5,1.88150884,42.85714286,-0.232626201,60.24096386,3.134069992,59.25925926,2.827244163,0.0,-3.165028945,55.81395349,1.753469726,51.31578947,3.021944505,53.33333333,2.255534798,26.31578947,-0.914424825,172.8,0.0,171.6,-0.7,171.1,-1.0,167.7,-3.0,165.5,-4.2,163.4,-5.4,159.6,-7.6,157.4,-8.9,155.3,-10.1,153.6,-11.1,154.7,-10.5,157.3,-9.0,158.4,-8.3,156.1,-9.7,158.4,-8.333333333333336,,,,,,,,,,,,,,,,,,
ブラックロック,BLK,2024-11-07,0,0,0,1,1,0,0,100.0,13.12321622,78.125,3.528909528,57.31707317,2.386092753,39.39393939,0.766538513,33.33333333,-1.12433494,40.0,1.210423664,67.70186335,3.002882225,60.0,2.390457348,43.24324324,-0.514209061,1032.4,0.0,1036.7,0.4,1047.5,1.5,1033.6,0.1,1026.2,-0.6,1037.2,0.5,1035.0,0.3,1037.4,0.5,1027.6,-0.5,1018.0,-1.4,1024.6,-0.8,1028.5,-0.4,1030.6,-0.2,1018.2,-1.4,1018.0,-1.3948082138706015,,,,,,,,,,,,,,,,,,
ケイデンス デザイン システムズ,CDNS,2024-11-07,0,0,0,1,0,0,0,100.0,6.575028474,95.23809524,7.069550396,79.26829268,6.573462822,82.85714286,5.050134695,55.55555556,0.999128481,66.66666667,2.021370082,74.375,4.910413461,65.0,3.256097596,57.44680851,1.621279443,297.7,0.0,299.5,0.6,296.3,-0.5,295.5,-0.7,295.6,-0.7,299.6,0.6,287.5,-3.4,288.8,-3.0,290.0,-2.6,296.1,-0.5,301.0,1.1,307.0,3.1,309.1,3.8,309.4,3.9,302.5,1.6123614376889523,,,,,,,,,,,,,,,,,,
キャンベル スープ,CPB,2024-11-07,0,1,1,0,0,0,1,77.77777778,2.310273258,58.06451613,1.163302842,68.0,3.946764667,57.77777778,1.879780562,33.33333333,-0.950940982,68.18181818,2.866558945,68.32298137,2.172915685,56.66666667,1.578475411,64.0,0.427612116,45.0,0.0,44.9,-0.2,44.6,-0.9,43.8,-2.7,43.8,-2.7,44.3,-1.6,42.7,-5.1,43.1,-4.2,42.9,-4.7,43.4,-3.6,43.4,-3.6,44.5,-1.1,45.4,0.9,46.0,2.2,46.0,2.2222222222222223,,,,,,,,,,,,,,,,,,
キャリア グローバル,CARR,2024-11-07,0,0,0,0,0,1,0,100.0,5.293720642,42.85714286,2.30846074,61.53846154,5.95682228,72.09302326,4.692041081,55.55555556,1.446548433,57.89473684,2.450621694,71.32352941,7.03154222,67.9245283,4.043874837,50.0,0.934149585,74.9,0.0,75.3,0.5,76.0,1.5,75.1,0.3,76.2,1.7,74.9,0.0,74.0,-1.2,73.9,-1.3,73.3,-2.1,74.1,-1.1,74.5,-0.5,75.9,1.3,77.4,3.3,76.2,1.7,76.5,2.136181575433904,,,,,,,,,,,,,,,,,,
CBOE,CBOE,2024-11-07,0,1,0,0,0,0,1,85.71428571,3.137552796,93.75,6.137260616,76.66666667,5.716759685,73.91304348,2.838732455,59.09090909,2.820345154,60.0,2.238140585,63.81578947,4.576703148,75.0,3.589651983,69.04761905,4.027709084,199.3,0.0,196.7,-1.3,195.7,-1.8,197.5,-0.9,195.6,-1.9,197.3,-1.0,197.5,-0.9,201.3,1.0,204.1,2.4,205.0,2.9,208.5,4.6,209.8,5.3,211.2,6.0,210.2,5.5,216.6,8.68038133467134,,,,,,,,,,,,,,,,,,
セラニーズ,CE,2024-11-07,0,1,1,0,0,1,1,66.66666667,1.062033075,41.17647059,1.130593595,55.12820513,2.317040285,61.11111111,1.8321614,54.54545455,0.308715448,30.55555556,-0.048147842,48.75,1.078560259,55.0,1.304562558,41.17647059,-0.533922815,89.1,0.0,84.8,-4.8,78.4,-12.0,75.3,-15.5,73.6,-17.4,72.9,-18.2,72.8,-18.3,72.8,-18.3,71.4,-19.9,71.4,-19.9,72.3,-18.9,74.6,-16.3,74.7,-16.2,72.8,-18.3,72.8,-18.29405162738496,,,,,,,,,,,,,,,,,,
シグナ グループ,CI,2024-11-07,0,0,0,0,0,1,0,100.0,18.84780308,75.0,2.880739027,71.42857143,5.125170074,71.05263158,3.496613804,40.0,-0.411766381,69.44444444,3.31217528,61.18421053,4.223166335,61.66666667,2.211310764,58.33333333,0.244856206,314.7,0.0,317.5,0.9,339.7,7.9,339.5,7.9,331.1,5.2,322.7,2.5,316.8,0.7,320.5,1.8,319.2,1.4,319.4,1.5,322.2,2.4,325.5,3.4,330.1,4.9,329.7,4.8,333.8,6.069272322847164,,,,,,,,,,,,,,,,,,
CMS エナジー,CMS,2024-11-07,0,1,1,0,0,0,1,44.44444444,-0.132844389,81.81818182,3.96564903,55.29411765,1.814921196,80.64516129,3.66166487,20.0,-1.626243304,62.16216216,2.13103408,54.86111111,1.363672658,50.0,0.681411745,43.33333333,-0.174519747,65.1,0.0,66.7,2.5,67.2,3.2,67.9,4.3,67.2,3.2,67.2,3.2,67.2,3.2,68.0,4.5,67.7,4.0,68.4,5.1,68.3,4.9,69.2,6.3,69.1,6.1,69.4,6.6,70.4,8.141321044546869,,,,,,,,,,,,,,,,,,
コカ-コーラ,KO,2024-11-07,0,1,1,0,0,1,0,71.42857143,1.036263869,100.0,6.069165949,81.25,4.26731229,77.77777778,5.24711262,55.55555556,1.20105628,72.97297297,2.785162456,54.90196078,2.755816488,60.0,1.846741485,51.06382979,1.075223894,63.6,0.0,63.7,0.2,63.2,-0.6,63.1,-0.8,62.5,-1.7,62.4,-1.9,61.4,-3.5,61.6,-3.1,61.6,-3.1,62.0,-2.5,63.0,-0.9,63.7,0.2,63.8,0.3,64.1,0.8,64.2,0.9433962264150966,,,,,,,,,,,,,,,,,,
コルゲート パルモリーブ,CL,2024-11-07,0,1,1,0,0,1,0,33.33333333,-0.604216164,97.22222222,13.04756023,77.65957447,5.272059357,80.0,4.241180379,94.11764706,12.01795133,90.0,9.69243887,68.75,4.146198198,66.66666667,2.344257849,55.10204082,2.471968111,94.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コナグラ ブランズ,CAG,2024-11-07,0,1,1,0,0,1,1,40.0,-0.678135513,44.73684211,0.157117089,63.88888889,1.931121561,74.35897436,1.994753839,0.0,-3.38911314,52.77777778,1.920140201,54.08805031,-0.591603264,58.33333333,0.042631405,16.66666667,-3.047885975,28.0,0.0,28.1,0.4,27.7,-1.1,27.5,-1.8,27.5,-1.8,27.4,-2.1,26.2,-6.4,26.6,-5.0,26.4,-5.7,26.4,-5.7,27.0,-3.6,27.2,-2.9,27.5,-1.8,27.4,-2.1,27.4,-2.142857142857148,,,,,,,,,,,,,,,,,,
コンソリデーテッド エジソン,ED,2024-11-07,0,1,1,0,0,0,0,85.71428571,2.655875939,100.0,7.117979564,56.12244898,1.783140531,61.01694915,2.146360988,44.44444444,0.080686095,60.60606061,1.129966503,52.31788079,0.634921145,58.33333333,0.427060494,50.0,0.840346244,97.2,0.0,97.4,0.2,97.6,0.4,96.8,-0.4,94.9,-2.4,95.1,-2.2,95.0,-2.3,95.8,-1.4,95.3,-2.0,96.4,-0.8,97.3,0.1,98.2,1.0,98.2,1.0,99.6,2.5,101.4,4.32098765432099,,,,,,,,,,,,,,,,,,
コルテバ,CTVA,2024-11-07,0,1,0,0,0,0,0,62.5,1.561038455,65.2173913,2.442578172,51.85185185,2.79001903,66.66666667,2.0911184,27.27272727,-0.726595947,58.53658537,1.470336484,48.63013699,1.409207367,51.66666667,1.200677748,50.0,0.547604965,57.3,0.0,58.2,1.6,58.3,1.7,57.0,-0.5,57.3,0.0,57.1,-0.3,55.2,-3.7,55.3,-3.5,56.2,-1.9,58.0,1.2,58.9,2.8,60.1,4.9,61.6,7.5,62.8,9.6,62.4,8.900523560209427,,,,,,,,,,,,,,,,,,
DR ホートン,DHI,2024-11-07,0,0,0,0,0,1,0,100.0,24.79600986,63.63636364,4.329253818,61.32075472,5.122990689,77.14285714,5.090761835,42.10526316,-0.327055925,56.66666667,2.759588764,57.76397516,4.46931075,56.66666667,3.086258558,60.46511628,2.120884212,166.1,0.0,167.1,0.6,166.7,0.4,161.7,-2.6,160.9,-3.1,160.8,-3.2,161.0,-3.1,160.1,-3.6,158.6,-4.5,161.7,-2.6,161.8,-2.6,161.5,-2.8,167.2,0.7,167.3,0.7,169.1,1.8061408789885613,,,,,,,,,,,,,,,,,,
ダナハー,DHR,2024-11-07,0,0,0,0,0,1,0,75.0,1.418161011,85.71428571,3.437125004,55.67010309,1.384427754,75.0,3.406292176,53.84615385,0.702790406,75.0,1.550435697,53.84615385,2.510301437,55.0,1.006866109,48.27586207,0.759273636,245.7,0.0,244.1,-0.7,241.4,-1.8,239.3,-2.6,239.0,-2.7,237.3,-3.4,229.0,-6.8,228.2,-7.1,228.7,-6.9,228.9,-6.8,230.4,-6.2,234.5,-4.6,235.4,-4.2,233.1,-5.1,235.7,-4.07000407000407,,,,,,,,,,,,,,,,,,
デンツプライ シロナ,XRAY,2024-11-07,0,1,1,0,0,1,1,71.42857143,2.11327325,42.85714286,-0.283820278,39.47368421,2.027678774,21.42857143,-2.540217947,20.0,-1.057064378,23.91304348,-1.285235014,33.73493976,-1.850585829,28.33333333,-0.998833362,20.0,-2.604587021,17.2,0.0,17.2,0.0,17.5,1.7,17.4,1.2,17.3,0.6,17.7,2.9,17.7,2.9,18.2,5.8,18.1,5.2,18.4,7.0,18.3,6.4,18.6,8.1,18.9,9.9,19.1,11.0,19.3,12.209302325581405,,,,,,,,,,,,,,,,,,
ドミノ ピザ,DPZ,2024-11-07,0,0,0,1,0,0,0,33.33333333,-0.323732216,45.83333333,1.34712567,43.90243902,0.268289138,50.0,1.32107035,58.33333333,0.586144954,60.60606061,0.477379593,44.02515723,1.203069966,51.66666667,0.986082512,48.48484848,1.058737976,443.2,0.0,452.3,2.1,446.5,0.7,436.4,-1.5,438.4,-1.1,432.3,-2.5,429.5,-3.1,433.5,-2.2,436.0,-1.6,432.9,-2.3,438.0,-1.2,446.0,0.6,460.0,3.8,464.2,4.7,471.0,6.27256317689531,,,,,,,,,,,,,,,,,,
ダウ,DOW,2024-11-07,0,0,1,0,0,1,0,80.0,1.909989901,66.66666667,2.89368794,58.62068966,2.768889247,66.66666667,1.886633143,40.0,-0.21858052,47.22222222,1.505612208,59.25925926,1.458847576,48.33333333,0.80313241,39.28571429,-1.489495596,48.0,0.0,46.4,-3.3,46.2,-3.7,44.9,-6.5,44.7,-6.9,44.4,-7.5,44.0,-8.3,44.0,-8.3,43.3,-9.8,43.3,-9.8,43.6,-9.2,44.7,-6.9,45.5,-5.2,44.1,-8.1,44.6,-7.08333333333333,,,,,,,,,,,,,,,,,,
DTE エナジー,DTE,2024-11-07,0,1,1,0,0,0,1,75.0,1.815762398,100.0,10.74567934,65.90909091,3.227855924,54.09836066,2.533317719,16.66666667,-2.210498389,44.73684211,1.506251843,54.60526316,1.803108735,48.33333333,1.303773282,54.05405405,-0.371702829,115.6,0.0,117.2,1.4,117.8,1.9,119.5,3.4,117.9,2.0,119.0,2.9,118.9,2.9,119.3,3.2,119.9,3.7,121.3,4.9,121.8,5.4,124.0,7.3,124.7,7.9,124.6,7.8,125.9,8.910034602076134,,,,,,,,,,,,,,,,,,
デューク エナジー,DUK,2024-11-07,0,1,0,0,0,0,0,60.0,0.778429616,81.81818182,5.192522283,63.91752577,3.742237185,66.66666667,2.133182874,57.14285714,-0.065877414,62.5,1.428238937,67.12328767,3.422048613,70.0,1.654888724,58.97435897,0.723892983,110.3,0.0,111.6,1.2,112.4,1.9,111.8,1.4,110.7,0.4,110.5,0.2,109.4,-0.8,111.7,1.3,112.1,1.6,113.0,2.4,113.2,2.6,114.6,3.9,114.2,3.5,115.1,4.4,117.3,6.346328195829557,,,,,,,,,,,,,,,,,,
