Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN,Price_0d,PL_0d,Price_1d,PL_1d,Price_2d,PL_2d,Price_3d,PL_3d,Price_4d,PL_4d,Price_5d,PL_5d,Price_6d,PL_6d,Price_7d,PL_7d,Price_8d,PL_8d,Price_9d,PL_9d,Price_10d,PL_10d,Price_11d,PL_11d,Price_12d,PL_12d,Price_13d,PL_13d,Price_14d,PL_14d,Price_20d,PL_20d,Price_21d,PL_21d,Price_22d,PL_22d,Price_27d,PL_27d,Price_28d,PL_28d,Price_29d,PL_29d,Price_59d,PL_59d,Price_60d,PL_60d,Price_61d,PL_61d
ゼンショーホールディングス,7550,2024-11-19,0,0,0,1,0,0,0,60.0,1.140293189,48.57142857,0.463381357,72.54901961,4.377335479,48.93617021,2.209112457,67.85714286,4.822282299,72.72727273,3.835408676,55.31914894,3.747406037,56.66666667,2.142474994,77.55102041,5.992927738,8610.0,0.0,8978.0,4.3,8992.0,4.4,9090.0,5.6,9038.0,5.0,8995.0,4.5,8950.0,3.9,8990.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＩＤＯＭ,7599,2024-11-19,0,0,0,0,0,1,0,88.88888889,2.693965239,69.56521739,2.315434644,53.33333333,2.307076574,61.2244898,3.338577159,44.44444444,0.33139767,44.82758621,0.754609514,53.23741007,2.719090781,48.33333333,1.444032023,34.28571429,-0.250284862,1053.0,0.0,1051.0,-0.2,1059.0,0.6,1061.0,0.8,1070.0,1.6,1073.0,1.9,1039.0,-1.3,1048.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
進和,7607,2024-11-19,0,0,0,1,0,0,0,100.0,6.204978527,80.0,2.756426057,68.42105263,4.19141396,65.11627907,3.063759437,25.0,-2.459496267,64.70588235,1.910735355,65.71428571,4.45093275,58.33333333,1.499158319,43.33333333,-1.671729488,2800.0,0.0,2831.0,1.1,2845.0,1.6,2845.0,1.6,2830.0,1.1,2831.0,1.1,2766.0,-1.2,2753.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ダイトロン,7609,2024-11-19,0,0,0,0,0,1,0,62.5,1.644458844,60.0,2.550988734,67.39130435,4.435507365,77.14285714,4.259481224,53.33333333,-0.432683521,55.88235294,2.346178844,59.25925926,3.882678381,55.0,2.715726207,57.57575758,0.85553368,2778.0,0.0,2779.0,0.0,2789.0,0.4,2779.0,0.0,2778.0,0.0,2750.0,-1.0,2700.0,-2.8,2708.0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
薬王堂ホールディングス,7679,2024-11-19,0,0,0,0,0,1,0,12.5,-3.20701634,100.0,9.817274211,59.16666667,3.118597013,72.72727273,2.539720747,0.0,-2.82376921,51.42857143,0.931991814,49.68152866,0.490333331,46.66666667,0.376637985,36.0,-0.195499135,2044.0,0.0,2016.0,-1.4,2025.0,-0.9,2013.0,-1.5,2020.0,-1.2,2015.0,-1.4,2015.0,-1.4,2020.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
島津製作所,7701,2024-11-19,0,0,0,0,0,1,0,87.5,2.3957292,84.21052632,4.461808963,70.45454545,3.544418531,66.66666667,3.840290635,80.0,1.106295223,70.27027027,3.063695346,52.05479452,2.371633308,68.33333333,2.427757208,44.44444444,-1.085783295,4291.0,0.0,4263.0,-0.7,4243.0,-1.1,4269.0,-0.5,4271.0,-0.5,4256.0,-0.8,4237.0,-1.3,4246.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ブイ・テクノロジー,7717,2024-11-19,0,0,1,0,0,1,0,57.14285714,1.070114618,37.5,0.956185514,37.20930233,-1.350101843,42.10526316,-0.477985554,0.0,0.0,31.11111111,-1.529184417,24.65753425,-2.287722698,30.0,-1.809127355,31.25,-1.493356669,2153.0,0.0,2150.0,-0.1,2249.0,4.5,2309.0,7.2,2323.0,7.9,2280.0,5.9,2231.0,3.6,2209.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インターアクション,7725,2024-11-19,0,0,1,0,0,1,0,23.07692308,-0.986717539,76.47058824,2.066327852,54.54545455,0.193442677,57.69230769,1.668573084,0.0,-3.766078775,64.86486486,0.756665405,38.9261745,-1.971143081,36.66666667,-1.248494642,35.29411765,-1.410861341,1000.0,0.0,1004.0,0.4,1004.0,0.4,1005.0,0.5,1004.0,0.4,980.0,-2.0,968.0,-3.2,991.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トプコン,7732,2024-11-19,0,0,0,0,0,1,0,44.44444444,0.29619418,64.0,1.780052518,48.61111111,2.472085685,45.45454545,1.206465785,14.28571429,-3.475114097,41.66666667,-0.250606601,64.74358974,1.40661319,56.66666667,1.306461938,51.35135135,-0.959692965,1517.0,0.0,1512.0,-0.3,1518.0,0.1,1567.5,3.3,1560.0,2.8,1528.0,0.7,1530.5,0.9,1566.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理研計器,7734,2024-11-19,0,1,1,0,0,0,0,80.0,2.175823312,74.35897436,5.382743274,68.33333333,7.139340551,77.27272727,6.158502215,61.53846154,1.325857575,75.0,4.192536391,59.02777778,6.198305656,56.66666667,3.245395116,46.66666667,1.342246806,3665.0,0.0,3725.0,1.6,3685.0,0.5,3710.0,1.2,3650.0,-0.4,3680.0,0.4,3700.0,1.0,3680.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シード,7743,2024-11-19,0,0,1,0,0,0,1,54.54545455,0.169876839,20.0,-0.369654608,37.03703704,-1.200599941,39.28571429,0.172837301,100.0,26.15966715,33.33333333,-0.310203607,37.41496599,-0.067507644,31.66666667,-0.082915694,68.42105263,3.056851949,464.0,0.0,460.0,-0.9,460.0,-0.9,462.0,-0.4,469.0,1.1,476.0,2.6,476.0,2.6,480.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ＆Ｄホロンホールディングス,7745,2024-11-19,0,0,1,0,0,0,0,54.54545455,0.504728446,83.87096774,6.186217203,68.8172043,5.347869888,76.47058824,4.571039781,76.47058824,2.299936602,75.0,3.993523974,68.78980892,5.349279069,71.66666667,2.700917418,58.06451613,2.581644793,1942.0,0.0,1954.0,0.6,1957.0,0.8,1968.0,1.3,1934.0,-0.4,1930.0,-0.6,1900.0,-2.2,1873.0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シチズン時計,7762,2024-11-19,0,0,0,0,0,1,0,83.33333333,2.273511456,76.0,2.953220512,77.52808989,3.499165816,77.5,5.03376104,50.0,-0.106524983,54.28571429,2.39560193,59.74842767,3.133100764,46.66666667,1.554476994,58.06451613,1.06575059,901.0,0.0,896.0,-0.6,895.0,-0.7,895.0,-0.7,899.0,-0.2,892.0,-1.0,881.0,-2.2,880.0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
リズム,7769,2024-11-19,0,1,1,0,0,1,1,83.33333333,3.528484751,80.76923077,3.529358421,65.59139785,5.216072607,75.0,3.903335506,50.0,0.741481478,59.09090909,2.340161267,65.33333333,5.126905497,75.0,3.363473091,58.33333333,1.285554097,3545.0,0.0,3555.0,0.3,3520.0,-0.7,3600.0,1.6,3655.0,3.1,3625.0,2.3,3595.0,1.4,3685.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パラマウントベッドホールディングス,7817,2024-11-19,0,0,0,0,0,1,0,63.63636364,0.698474846,100.0,6.914117664,66.03773585,1.676861392,85.0,4.560954004,0.0,-17.75,62.85714286,0.534442284,56.29139073,0.268562521,51.66666667,0.785138092,50.0,0.960173288,2576.0,0.0,2538.0,-1.5,2528.0,-1.9,2519.0,-2.2,2523.0,-2.1,2494.0,-3.2,2470.0,-4.1,2489.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ニホンフラッシュ,7820,2024-11-19,0,0,1,0,0,1,1,21.42857143,-0.483939851,88.88888889,3.734524929,37.5,-1.125583865,45.45454545,-0.926471194,,0.0,45.94594595,-1.136213105,26.0,-4.707470285,33.33333333,-2.577676278,23.80952381,-1.77243841,852.0,0.0,851.0,-0.1,855.0,0.4,858.0,0.7,856.0,0.5,848.0,-0.5,825.0,-3.2,821.0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フルヤ金属,7826,2024-11-19,0,0,1,0,0,0,0,100.0,10.09499371,100.0,8.563890204,56.17977528,2.387522306,73.33333333,5.942850872,14.28571429,-1.860931723,64.28571429,2.344672892,54.96688742,3.256348531,55.0,1.99622543,43.33333333,-0.686505414,3505.0,0.0,3495.0,-0.3,3465.0,-1.1,3500.0,-0.1,3520.0,0.4,3485.0,-0.6,3435.0,-2.0,3400.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バンダイナムコホールディングス,7832,2024-11-19,0,1,0,0,0,0,1,87.5,3.167080376,58.62068966,2.170889053,51.25,2.005410912,38.46153846,0.829679592,33.33333333,-0.293860989,44.44444444,1.072682086,52.31788079,1.816133129,50.0,0.908712738,39.28571429,-1.030297719,3006.0,0.0,3073.0,2.2,3085.0,2.6,3097.0,3.0,3165.0,5.3,3217.0,7.0,3188.0,6.1,3180.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＳＨＯＥＩ,7839,2024-11-19,0,1,1,0,0,0,0,44.44444444,0.351838653,69.76744186,2.626475256,51.11111111,1.495500056,60.41666667,2.057323637,0.0,-3.490223793,59.375,1.630111897,46.71052632,1.39498897,56.66666667,1.080635882,58.62068966,0.100305377,2017.0,0.0,2221.0,10.1,2352.0,16.6,2351.0,16.6,2401.0,19.0,2437.0,20.8,2391.0,18.5,2398.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萩原工業,7856,2024-11-19,0,0,1,0,0,0,0,60.0,0.759832686,47.05882353,1.247389683,36.53846154,-0.174550061,54.54545455,0.249241656,83.33333333,3.590435126,50.0,-0.912181029,59.72222222,0.788752685,46.66666667,-0.311611345,51.72413793,0.730487667,1413.0,0.0,1403.0,-0.7,1400.0,-0.9,1398.0,-1.1,1402.0,-0.8,1380.0,-2.3,1357.0,-4.0,1366.0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広済堂ホールディングス,7868,2024-11-19,0,1,0,0,0,1,1,83.33333333,1.910319944,72.72727273,1.819875904,61.68224299,2.920332402,64.28571429,3.175632501,38.46153846,0.130927769,46.66666667,1.873890204,53.8961039,2.619348626,48.33333333,1.760415935,68.42105263,2.885871526,450.0,0.0,452.0,0.4,478.0,6.2,495.0,10.0,516.0,14.7,524.0,16.4,532.0,18.2,542.0,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＴＯＰＰＡＮホールディングス,7911,2024-11-19,0,1,0,0,0,0,0,57.14285714,0.811787024,85.71428571,4.136114425,62.5,3.278449753,69.09090909,3.890279671,68.96551724,2.892978366,55.26315789,1.172491424,56.81818182,3.114587093,50.0,1.931687458,72.22222222,2.878664403,4074.0,0.0,4042.0,-0.8,3998.0,-1.9,4001.0,-1.8,4062.0,-0.3,3954.0,-2.9,3934.0,-3.4,3944.0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大日本印刷,7912,2024-11-19,0,1,1,0,0,1,1,60.0,1.288890228,80.76923077,5.16656989,71.42857143,5.234627,73.33333333,5.550452831,68.75,1.126647582,62.5,2.934636856,60.92715232,4.227595263,61.66666667,2.506394253,65.625,1.767994358,2395.5,0.0,2368.5,-1.1,2317.5,-3.3,2327.5,-2.8,2301.5,-3.9,2281.0,-4.8,2280.0,-4.8,2290.5,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＩＳＳＨＡ,7915,2024-11-19,0,0,0,0,0,1,0,70.0,2.099432692,70.58823529,2.944955909,51.80722892,2.758470997,50.0,2.068395531,44.44444444,-0.219672109,48.64864865,0.832375192,48.42767296,1.612487969,50.0,1.375571933,46.875,-0.721780748,1712.0,0.0,1667.0,-2.6,1661.0,-3.0,1667.0,-2.6,1673.0,-2.3,1608.0,-6.1,1619.0,-5.4,1622.0,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＳＰ,7942,2024-11-19,0,0,0,1,0,0,0,77.77777778,1.38841231,70.0,2.938050394,42.1686747,1.082660361,61.9047619,2.891169707,50.0,-0.185700258,41.93548387,-0.038112083,45.94594595,0.940103411,41.66666667,0.631738168,51.51515152,0.962420384,2043.0,0.0,2046.0,0.1,2063.0,1.0,2074.0,1.5,2100.0,2.8,2071.0,1.4,2076.0,1.6,2087.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ニチハ,7943,2024-11-19,0,1,1,0,0,1,0,57.14285714,1.199146169,63.88888889,2.583055371,59.13043478,2.187857214,76.47058824,4.166465895,0.0,-8.419074573,66.66666667,2.15109957,48.25174825,1.82646055,46.66666667,0.775991876,44.0,-0.370996315,2929.0,0.0,2936.0,0.2,2905.0,-0.8,2914.0,-0.5,2894.0,-1.2,2882.0,-1.6,2833.0,-3.3,2834.0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
クリナップ,7955,2024-11-19,0,0,0,0,0,1,0,83.33333333,2.266639436,76.47058824,2.554231482,64.48598131,3.623104766,75.0,3.001543871,11.11111111,-4.686446841,66.66666667,1.723244424,58.66666667,1.565692778,65.0,1.726846383,51.35135135,0.020398659,695.0,0.0,695.0,0.0,693.0,-0.3,695.0,0.0,690.0,-0.7,687.0,-1.2,681.0,-2.0,682.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松風,7979,2024-11-19,0,0,0,0,0,1,0,50.0,0.674423606,76.19047619,3.720099809,57.2815534,4.351274073,62.85714286,2.815936879,40.90909091,0.120213945,70.83333333,2.212015012,61.37931034,4.625300595,50.0,1.984650409,56.09756098,1.517989555,2075.0,0.0,2055.0,-1.0,2048.0,-1.3,2042.0,-1.6,2083.0,0.4,2034.0,-2.0,2035.0,-1.9,2101.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コクヨ,7984,2024-11-19,0,0,0,1,1,0,0,85.71428571,3.542792991,40.0,1.010459893,61.94690265,3.645061868,60.0,2.611626502,69.23076923,0.503502855,45.45454545,1.191147289,63.50364964,3.993642239,65.0,2.825835314,70.96774194,2.658613324,2784.5,0.0,2802.0,0.6,2807.5,0.8,2766.5,-0.6,2773.5,-0.4,2785.0,0.0,2753.5,-1.1,2783.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美津濃,8022,2024-11-19,0,0,0,0,0,1,0,66.66666667,1.103580439,80.0,3.882156251,55.20833333,3.295141467,66.66666667,3.284587369,57.14285714,1.519201553,55.17241379,2.347723953,56.08108108,4.344023444,56.66666667,2.720598799,72.34042553,3.918844796,7150.0,0.0,7470.0,4.5,7430.0,3.9,7330.0,2.5,7500.0,4.9,7590.0,6.2,7730.0,8.1,7930.0,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カメイ,8037,2024-11-19,0,0,1,0,0,0,0,90.0,3.702238764,87.5,5.26425278,80.73394495,7.412975939,91.4893617,7.378797392,47.05882353,0.397336583,58.33333333,0.785837031,75.0,5.918534942,78.33333333,3.517422267,69.6969697,1.309965991,1854.0,0.0,1836.0,-1.0,1851.0,-0.2,1863.0,0.5,1869.0,0.8,1856.0,0.1,1808.0,-2.5,1822.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三菱商事,8058,2024-11-19,0,0,0,0,0,1,0,100.0,6.385583144,100.0,13.32864518,72.16494845,5.963923194,84.61538462,5.01734877,70.37037037,2.625750807,46.66666667,0.593970106,73.88535032,6.040713992,66.66666667,3.231444821,75.6097561,3.432812598,2671.0,0.0,2656.5,-0.5,2640.5,-1.1,2644.5,-1.0,2630.5,-1.5,2527.0,-5.4,2522.5,-5.6,2513.0,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ユアサ商事,8074,2024-11-19,0,0,1,0,0,0,0,63.63636364,1.488719263,64.28571429,3.097708276,56.25,3.105130363,67.5,3.209719638,52.94117647,-0.178895325,44.44444444,1.384645597,51.36986301,2.345826381,55.0,1.832731994,72.72727273,3.091384709,4565.0,0.0,4485.0,-1.8,4435.0,-2.8,4520.0,-1.0,4440.0,-2.7,4385.0,-3.9,4300.0,-5.8,4285.0,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神鋼商事,8075,2024-11-19,0,0,1,0,0,0,0,100.0,5.351763017,72.4137931,3.507944683,78.94736842,7.431843157,80.95238095,5.437984322,53.57142857,0.976150363,53.84615385,1.765828753,66.89655172,5.761656475,68.33333333,3.726124157,54.76190476,1.645386039,6020.0,0.0,6040.0,0.3,6020.0,0.0,6040.0,0.3,6090.0,1.2,6000.0,-0.3,5900.0,-2.0,5920.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＹＯＤＥＮ,8084,2024-11-19,0,0,1,0,0,1,0,87.5,3.668500441,66.66666667,3.827580284,74.41860465,4.536391152,72.54901961,3.998549184,64.70588235,2.842041715,64.86486486,2.52470942,69.73684211,3.833436224,61.66666667,2.225258745,50.0,1.086004245,2303.0,0.0,2298.0,-0.2,2298.0,-0.2,2309.0,0.3,2318.0,0.7,2298.0,-0.2,2231.0,-3.1,2268.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ユニ・チャーム,8113,2024-11-19,0,1,1,0,0,1,0,57.14285714,0.447751928,78.125,3.585213265,71.69811321,3.544782547,84.44444444,5.992400575,33.33333333,-1.112376221,80.0,2.924952987,59.8540146,1.333280755,58.33333333,0.627593539,28.57142857,-2.202940762,3856.0,0.0,3771.0,-2.2,3761.0,-2.5,3801.0,-1.4,3806.0,-1.3,3896.0,1.0,3947.0,2.4,3931.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東邦ホールディングス,8129,2024-11-19,0,0,1,0,0,0,0,40.0,-0.043052949,78.26086957,1.561688958,60.3960396,4.840508109,88.23529412,5.651121114,93.75,10.70122742,65.71428571,2.545583907,56.66666667,6.095743005,56.66666667,4.199123201,86.95652174,9.465713752,4190.0,0.0,4175.0,-0.4,4243.0,1.3,4281.0,2.2,4302.0,2.7,4251.0,1.5,4195.0,0.1,4204.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サンゲツ,8130,2024-11-19,0,0,0,1,0,0,0,60.0,0.922957742,67.85714286,0.962421982,66.25,2.925357484,78.57142857,4.444407032,71.42857143,1.464818499,65.38461538,0.6756376,56.20915033,3.448357859,61.66666667,2.196858831,74.07407407,3.691177754,2901.0,0.0,2891.0,-0.3,2845.0,-1.9,2865.0,-1.2,2816.0,-2.9,2838.0,-2.2,2816.0,-2.9,2832.0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三信電気,8150,2024-11-19,0,0,1,0,0,0,0,66.66666667,1.7109104,71.42857143,2.326574678,62.3655914,1.780036048,52.63157895,1.194163615,50.0,0.091003984,38.88888889,0.138738849,38.96103896,-0.339682214,45.0,0.031432885,32.0,0.393481097,1908.0,0.0,1893.0,-0.8,1897.0,-0.6,1910.0,0.1,1907.0,-0.1,1894.0,-0.7,1868.0,-2.1,1867.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東陽テクニカ,8151,2024-11-19,0,0,1,0,0,1,0,80.0,2.880461908,85.71428571,8.424309434,79.09090909,4.798765187,87.87878788,5.279188205,12.5,-2.156572781,77.14285714,2.415938858,73.15436242,4.341847652,65.0,2.658921407,58.62068966,1.928734012,1480.0,0.0,1485.0,0.3,1478.0,-0.1,1477.0,-0.2,1487.0,0.5,1480.0,0.0,1467.0,-0.9,1457.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三益半導体工業,8155,2024-11-11,0,0,0,1,1,0,0,30.76923077,-0.010503021,100.0,15.37017502,69.81132075,2.852724481,70.96774194,3.044327281,57.14285714,-0.025516193,55.0,2.147559432,49.30555556,1.567394209,56.66666667,0.824322511,43.47826087,-0.755648906,13784086528.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木曽路,8160,2024-11-19,0,0,1,0,0,1,0,33.33333333,-0.727263671,65.38461538,3.815857983,58.82352941,1.051725508,53.33333333,1.231813234,83.33333333,1.345737397,47.36842105,0.05887641,46.26865672,-0.522494675,46.66666667,-0.570621066,42.85714286,-0.692737891,2114.0,0.0,2095.0,-0.9,2113.0,-0.0,2116.0,0.1,2116.0,0.1,2117.0,0.1,2120.0,0.3,2117.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＳＲＳホールディングス,8163,2024-11-19,0,0,1,0,0,0,0,71.42857143,0.75062676,87.5,3.702020875,64.1025641,2.342519602,65.90909091,3.284293218,83.33333333,2.40555146,53.125,1.146818719,64.19753086,3.402621882,60.0,2.62488751,76.92307692,3.79129544,1127.0,0.0,1118.0,-0.8,1122.0,-0.4,1118.0,-0.8,1123.0,-0.4,1123.0,-0.4,1116.0,-1.0,1125.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上新電機,8173,2024-11-19,0,0,1,0,0,0,0,77.77777778,1.694768868,22.22222222,-0.693469671,54.12844037,4.353175742,51.1627907,1.654920972,41.66666667,-0.06962804,54.54545455,1.020746955,59.42028986,3.818574818,51.66666667,2.595261595,64.28571429,2.690569481,2380.0,0.0,2349.0,-1.3,2331.0,-2.1,2335.0,-1.9,2348.0,-1.3,2355.0,-1.1,2289.0,-3.8,2300.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本瓦斯,8174,2024-11-19,0,0,0,0,0,1,0,100.0,8.957254464,100.0,10.30287939,69.76744186,3.672689265,73.07692308,2.882441661,50.0,-0.933446722,57.69230769,1.394016384,60.41666667,2.536588588,56.66666667,1.846172126,54.54545455,0.119934683,2066.5,0.0,2052.5,-0.7,2057.5,-0.4,2060.0,-0.3,2065.5,-0.0,2051.0,-0.8,2050.5,-0.8,2064.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
リンガーハット,8200,2024-11-19,0,1,0,0,0,0,1,40.0,0.171659113,73.33333333,4.601999651,75.6097561,3.334982574,80.55555556,3.818185654,0.0,-3.888888889,78.57142857,2.955658318,44.58598726,-0.93925516,55.0,0.439171467,29.16666667,-1.714271454,2180.0,0.0,2183.0,0.1,2195.0,0.7,2198.0,0.8,2184.0,0.2,2167.0,-0.6,2161.0,-0.9,2175.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オークワ,8217,2024-11-19,0,0,0,0,0,0,1,28.57142857,-1.170578203,68.75,1.42074761,34.88372093,-1.486718384,38.46153846,0.643171939,0.0,-4.084954385,59.45945946,0.513219467,38.35616438,-3.763873546,33.33333333,-1.842280664,20.0,-3.239243678,881.0,0.0,877.0,-0.5,889.0,0.9,908.0,3.1,918.0,4.2,912.0,3.5,911.0,3.4,918.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゼビオホールディングス,8281,2024-11-19,0,0,1,0,0,1,0,33.33333333,-0.197698672,68.75,1.863322294,67.12328767,3.798248767,77.5,4.50350741,20.0,-1.277259533,52.94117647,1.530361737,51.67785235,1.591528771,66.66666667,1.813200198,61.29032258,1.781698785,1070.0,0.0,1073.0,0.3,1077.0,0.7,1091.0,2.0,1098.0,2.6,1096.0,2.4,1081.0,1.0,1103.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あおぞら銀行,8304,2024-11-19,0,1,0,0,0,0,0,33.33333333,0.091948538,84.61538462,6.056141572,78.31325301,4.51318641,65.38461538,3.153670411,16.66666667,-1.67729943,67.85714286,1.0358815,55.47945205,0.388538106,60.0,0.875313649,33.33333333,-1.439133498,2486.0,0.0,2468.0,-0.7,2463.5,-0.9,2455.5,-1.2,2405.5,-3.2,2404.5,-3.3,2387.0,-4.0,2395.5,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大和証券グループ本社,8601,2024-11-19,0,0,0,0,0,1,0,100.0,4.259787926,75.67567568,4.53617166,76.10619469,4.499288424,85.71428571,6.987645006,60.71428571,2.575800948,75.86206897,1.649531992,69.28571429,4.114410614,58.33333333,2.350438719,57.14285714,2.752914963,1017.5,0.0,1007.0,-1.0,1000.5,-1.7,998.4,-1.9,1009.5,-0.8,993.4,-2.4,995.0,-2.2,997.5,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡三証券グループ,8609,2024-11-19,0,0,0,0,0,1,0,50.0,1.130921611,80.0,3.309206167,48.0,3.2130108,47.45762712,2.210274919,75.0,2.726466445,47.36842105,1.831100211,55.40540541,2.720182658,48.33333333,2.551193903,69.23076923,3.034429737,621.0,0.0,625.0,0.6,624.0,0.5,629.0,1.3,633.0,1.9,629.0,1.3,619.0,-0.3,621.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水戸証券,8622,2024-11-19,0,0,0,1,0,0,0,71.42857143,1.784216454,62.5,2.096278348,66.0,4.049839983,45.45454545,2.26146526,50.0,0.88611504,36.66666667,1.108757235,47.5862069,3.306197601,61.66666667,1.816721409,50.0,1.41597734,540.0,0.0,546.0,1.1,548.0,1.5,547.0,1.3,550.0,1.9,545.0,0.9,541.0,0.2,540.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイザワ証券グループ,8708,2024-11-19,0,0,0,0,0,1,0,75.0,2.741479084,65.625,1.405659227,53.65853659,4.617925992,81.39534884,3.353300935,85.0,3.165860529,42.30769231,0.945809707,66.87116564,5.954516585,61.66666667,2.972845696,75.75757576,3.299671344,1712.0,0.0,1684.0,-1.6,1680.0,-1.9,1694.0,-1.1,1699.0,-0.8,1690.0,-1.3,1686.0,-1.5,1708.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｔ＆Ｄホールディングス,8795,2024-11-19,0,0,0,0,0,1,0,100.0,5.278456635,87.5,7.718725662,71.17117117,3.257585264,88.46153846,4.517563356,40.0,-0.781909676,72.72727273,2.922097118,68.05555556,2.821518332,51.66666667,1.141996161,56.41025641,0.887767719,2456.0,0.0,2396.5,-2.4,2374.0,-3.3,2366.5,-3.6,2415.5,-1.6,2490.5,1.4,2466.5,0.4,2670.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アドバンスクリエイト,8798,2024-11-19,0,0,1,0,0,1,0,33.33333333,-0.79253067,100.0,7.777380162,57.14285714,0.520967541,70.0,2.447568259,0.0,-3.490531993,61.29032258,0.495367325,53.79746835,0.054510348,58.33333333,0.557138176,54.28571429,-0.387945152,709.0,0.0,704.0,-0.7,688.0,-3.0,690.0,-2.7,677.0,-4.5,652.0,-8.0,635.0,-10.4,629.0,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
