Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
アメリカン ウォーター ワークス,AWK,2024-08-16,141.0,149.0,153.4,2.2,-0.2,1.6,-0.9,-2.7,55.0,39.4,51.2,57.5,139.1,63.1,0,0,0,0,0,0
アメリプライズ ファイナンシャル,AMP,2024-08-16,431.4,449.9,449.9,-5.4,0.7,-4.2,3.8,-2.7,53.7,43.1,58.3,46.3,71.0,61.7,0,0,0,0,0,0
アメテック,AME,2024-08-16,162.7,177.4,186.3,-2.3,0.1,-1.7,0.6,-2.2,46.4,41.2,47.3,44.6,124.1,66.8,0,0,0,0,0,0
アムジェン,AMGN,2024-08-16,321.4,346.9,346.9,1.3,-0.4,1.1,-0.8,-2.4,50.8,39.2,46.9,51.9,93.8,56.4,0,0,0,0,0,0
アンフェノール,APH,2024-08-16,65.8,70.7,70.8,-1.0,0.2,-1.0,2.9,-2.5,52.7,42.8,55.8,48.3,101.3,67.4,0,0,0,0,0,0
アナログ デバイセズ,ADI,2024-08-16,223.2,244.1,244.1,-4.3,0.3,-2.1,2.7,-2.8,50.6,43.5,52.0,46.0,77.2,74.4,0,0,0,0,0,0
アンシス,ANSS,2024-08-16,325.5,333.3,364.3,-2.6,0.7,-1.5,2.9,-3.4,54.2,40.7,59.8,49.0,102.9,56.7,0,0,0,0,0,0
エーオン,AON,2024-08-16,332.0,333.9,347.4,8.0,-0.0,5.4,1.2,-2.4,66.6,40.8,71.0,69.0,162.8,64.0,0,0,0,0,0,0
エイピーエイ,APA,2024-08-16,29.2,33.4,46.2,-0.3,-0.0,0.1,0.7,-5.9,48.0,39.2,48.5,46.4,59.7,62.3,0,0,0,0,0,1
アップル,AAPL,2024-08-16,226.1,237.2,237.2,0.2,0.2,2.0,2.7,-2.8,59.1,42.6,60.7,52.9,166.1,60.9,0,0,0,0,0,0
アプライド マテリアルズ,AMAT,2024-08-16,207.9,255.9,255.9,-8.7,0.8,-5.7,3.8,-4.1,48.6,42.6,51.0,43.6,93.9,68.6,0,0,0,0,0,0
アプティブ,APTV,2024-08-16,68.9,80.9,120.3,-1.0,0.0,-0.4,0.8,-4.1,46.4,39.4,48.3,45.0,84.5,62.5,0,0,0,0,0,0
アリスタ ネットワークス,ANET,2024-08-16,353.9,376.5,376.5,-0.0,0.9,-1.1,3.4,-4.0,56.4,41.9,58.5,52.8,74.0,57.3,0,0,0,0,0,0
アーサー　Ｊ　ギャラガー,AJG,2024-08-16,285.1,290.3,290.3,4.6,-0.1,2.6,0.8,-1.9,62.8,45.0,63.2,62.8,126.9,69.9,0,0,0,0,0,0
アシュラント,AIZ,2024-08-16,187.3,187.6,189.5,2.4,0.4,0.8,3.9,-2.4,65.4,41.9,72.0,62.5,153.1,66.4,0,0,0,0,0,0
AT&T,T,2024-08-16,19.3,20.0,20.0,0.2,-0.0,0.1,0.1,-2.5,56.0,37.7,54.4,57.1,99.6,56.1,0,0,0,0,0,0
アトモス エナジー,ATO,2024-08-16,129.2,132.2,132.2,2.4,-0.1,1.4,0.7,-2.2,64.3,41.5,66.1,66.0,142.8,65.1,0,0,0,0,0,0
オートデスク,ADSK,2024-08-16,248.2,256.0,279.5,0.2,0.3,1.4,2.0,-3.8,55.6,40.9,57.4,52.7,89.2,59.0,1,0,0,0,0,0
オートマチック データ プロセシング,ADP,2024-08-16,264.1,269.5,269.5,4.5,0.0,1.9,1.0,-2.3,62.4,42.0,66.0,64.6,204.4,61.9,0,0,0,0,0,0
オートゾーン,AZO,2024-08-16,3212.9,3225.6,3256.4,59.6,0.8,22.0,1.9,-2.3,62.2,43.5,65.4,63.0,253.2,63.1,0,0,0,0,0,0
AVB,AVB,2024-08-16,215.2,218.8,218.8,1.9,0.1,1.1,1.7,-2.5,60.4,40.7,62.5,57.8,120.3,59.9,0,0,0,0,0,0
エイブリー デニソン,AVY,2024-08-16,213.0,233.5,233.5,-3.0,0.2,-2.7,1.3,-2.6,47.8,41.8,50.1,44.0,92.4,61.6,0,0,0,0,0,0
ベーカー ヒューズ,BKR,2024-08-16,34.9,39.0,39.0,0.2,-0.1,0.2,-0.6,-4.3,50.6,39.5,47.4,50.7,92.4,60.1,0,0,0,0,0,0
バンク オブ アメリカ,BAC,2024-08-16,39.3,44.4,44.4,-0.6,0.0,-0.4,1.4,-3.4,48.6,39.1,48.4,42.7,65.1,56.7,0,0,0,0,0,0
バス & ボディ ワークス,BBWI,2024-08-16,33.7,41.1,53.0,-1.9,0.1,-1.6,3.4,-5.1,42.1,38.0,46.3,36.7,73.0,55.7,0,0,0,0,0,0
バクスター インターナショナル,BAX,2024-08-16,36.1,37.9,50.2,0.4,-0.0,0.3,0.4,-3.2,52.2,35.5,53.0,54.4,126.2,62.3,0,0,0,0,0,0
ベクトン ディッキンソン,BDX,2024-08-16,236.3,243.8,287.3,0.9,-0.1,0.9,0.4,-2.4,51.8,41.2,52.7,51.7,85.5,61.1,0,0,0,0,0,0
ベスト バイ,BBY,2024-08-16,85.2,90.6,93.7,-0.7,0.0,-0.0,2.0,-3.6,52.1,39.6,52.8,46.8,104.2,65.1,0,0,0,0,0,0
バイオ-ラッド ラボラトリーズ A,BIO,2024-08-16,325.6,353.1,502.0,8.4,-0.5,6.8,0.4,-3.9,56.4,38.5,56.1,58.5,96.4,54.1,0,0,0,0,0,0
バイオ テクネ,TECH,2024-08-16,74.5,83.6,89.9,-0.3,-0.1,-0.2,-0.1,-3.5,48.3,39.7,47.1,47.7,99.9,55.7,0,0,0,0,0,0
バイオジェン,BIIB,2024-08-16,201.9,238.0,319.8,-6.0,-0.0,-1.4,-0.8,-3.3,40.7,37.5,37.9,37.4,84.8,57.2,0,0,0,0,0,0
ブラックロック,BLK,2024-08-16,872.5,885.1,885.1,11.6,0.0,7.1,1.8,-3.1,60.6,39.0,62.2,59.5,143.8,55.8,0,0,0,0,0,0
バンク オブ ニューヨーク メロン,BK,2024-08-16,65.6,65.9,65.9,0.6,0.0,0.2,2.4,-3.3,60.6,39.9,62.5,56.8,127.6,62.3,0,0,0,0,0,0
ボーイング,BA,2024-08-16,180.0,196.9,267.5,-3.1,0.1,0.7,4.2,-4.5,51.3,38.2,54.4,45.0,76.0,57.4,0,0,0,0,0,0
ブッキング ホールディングス,BKNG,2024-08-16,3618.9,4144.3,4144.3,-103.6,5.3,-59.6,1.8,-3.6,46.7,41.3,48.2,41.1,86.5,60.1,0,0,0,0,0,0
ボルグワーナー,BWA,2024-08-16,32.6,36.8,47.0,-0.3,0.0,-0.1,1.3,-3.7,49.0,40.2,50.7,46.8,65.0,61.9,0,0,0,0,0,0
BXP,BXP,2024-08-16,70.0,73.4,74.0,1.1,-0.0,1.0,1.7,-4.0,57.1,38.3,57.6,56.4,99.2,68.0,0,0,0,0,0,0
ボストン サイエンティフィック,BSX,2024-08-16,78.2,79.4,79.4,-0.2,0.1,-0.5,2.5,-2.4,57.5,42.6,61.3,51.5,109.3,71.5,0,0,0,0,0,0
ブリストル-マイヤーズ スクイブ,BMY,2024-08-16,49.4,51.2,71.1,1.4,0.0,1.2,2.6,-2.3,61.6,36.6,65.0,62.2,161.6,52.8,0,0,0,0,0,0
ブロードコム,AVGO,2024-08-16,165.7,177.1,185.2,-2.2,0.6,-1.1,6.5,-2.8,55.7,45.0,59.0,50.0,83.7,73.6,0,0,0,0,0,0
ブロードリッジ ファイナンシャル ソリューションズ,BR,2024-08-16,208.7,223.8,223.8,2.5,-0.2,0.9,-1.0,-2.4,51.8,41.2,49.2,54.7,65.8,60.3,0,0,0,0,0,0
ブラウン ＆ ブラウン,BRO,2024-08-16,101.9,103.2,103.2,2.1,-0.0,0.8,1.5,-2.3,66.3,44.3,67.8,66.0,123.4,64.2,0,0,0,0,0,0
ＣＨロビンソン ワールドワイド,CHRW,2024-08-16,99.2,105.4,106.4,2.8,0.0,1.9,1.6,-2.7,65.1,39.0,67.0,65.2,150.1,59.3,0,0,0,0,0,0
ケイデンス デザイン システムズ,CDNS,2024-08-16,281.0,322.3,329.0,-8.4,1.0,-5.2,3.7,-3.4,49.5,43.0,53.5,44.2,81.1,63.1,0,0,0,0,0,0
シーザーズ エンターテイメント,CZR,2024-08-16,37.0,42.0,60.3,-0.4,0.0,0.2,2.8,-5.7,50.7,38.8,52.6,48.3,99.6,55.6,0,0,0,0,0,0
キャンベル スープ,CPB,2024-08-16,49.1,50.6,56.0,0.9,0.0,0.5,0.7,-2.2,59.7,39.6,60.9,62.0,156.4,59.2,0,0,0,0,0,0
キャピタル ワン ファイナンシャル,COF,2024-08-16,139.6,153.4,153.4,-1.4,-0.1,-1.1,1.9,-3.9,49.9,40.5,50.7,46.1,110.1,60.6,0,0,0,0,0,0
カーディナル ヘルス,CAH,2024-08-16,109.8,109.0,116.0,1.2,0.3,0.6,5.7,-2.6,66.8,41.3,75.4,61.6,204.5,62.6,0,0,0,1,0,0
カーマックス,KMX,2024-08-16,79.9,86.2,88.2,0.2,-0.0,0.7,2.6,-4.7,54.6,38.3,55.4,51.3,109.2,59.2,0,0,0,0,0,0
