Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MACD_Win Rate [%],MACD_SQN,MAX30d_Win Rate [%],MAX30d_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN
アムジェン,AMGN,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アンフェノール,APH,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アナログ デバイセズ,ADI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アンシス,ANSS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エーオン,AON,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エイピーエイ,APA,2024-08-16,0,0,0,0,0,1,,,,,21.875,-0.1144509372413704,,,,,,,,,,,,
アップル,AAPL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アプライド マテリアルズ,AMAT,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アプティブ,APTV,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アリスタ ネットワークス,ANET,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アーサー　Ｊ　ギャラガー,AJG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アシュラント,AIZ,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
AT&T,T,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
アトモス エナジー,ATO,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
オートデスク,ADSK,2024-08-16,1,0,0,0,0,0,,,,,,,33.33333333333333,0.1400284211029892,,,,,,,,,,
オートマチック データ プロセシング,ADP,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
オートゾーン,AZO,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
AVB,AVB,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
エイブリー デニソン,AVY,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ベーカー ヒューズ,BKR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
バンク オブ アメリカ,BAC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
バス & ボディ ワークス,BBWI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
バクスター インターナショナル,BAX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ベクトン ディッキンソン,BDX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ベスト バイ,BBY,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
バイオ-ラッド ラボラトリーズ A,BIO,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
バイオ テクネ,TECH,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
バイオジェン,BIIB,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ブラックロック,BLK,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
バンク オブ ニューヨーク メロン,BK,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ボーイング,BA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ブッキング ホールディングス,BKNG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ボルグワーナー,BWA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
BXP,BXP,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ボストン サイエンティフィック,BSX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ブリストル-マイヤーズ スクイブ,BMY,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ブロードコム,AVGO,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ブロードリッジ ファイナンシャル ソリューションズ,BR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ブラウン ＆ ブラウン,BRO,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ＣＨロビンソン ワールドワイド,CHRW,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ケイデンス デザイン システムズ,CDNS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シーザーズ エンターテイメント,CZR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
キャンベル スープ,CPB,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
キャピタル ワン ファイナンシャル,COF,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
カーディナル ヘルス,CAH,2024-08-16,0,0,0,1,0,0,,,,,,,,,60.0,1.6421898926187732,,,,,,,,
カーマックス,KMX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
カーニバル,CCL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
キャリア グローバル,CARR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
キャタレント,CTLT,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
キャタピラー,CAT,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CBOE,CBOE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CBRE グループ,CBRE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CDW,CDW,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
セラニーズ,CE,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
センティーン,CNC,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
センターポイント エナジー,CNP,2024-08-16,0,0,1,0,0,0,57.14285714285714,0.7288958953442302,,,,,,,,,,,,,,,,
CFインダストリーズ ホールディングス,CF,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
チャールズ リバー ラボラトリーズ インターナショナル,CRL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
チャールズシュワブ,SCHW,2024-08-16,0,0,0,0,0,1,,,,,40.0,0.1746999967760533,,,,,,,,,,,,
チャーター コミュニケーションズ,CHTR,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シェブロン,CVX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
チポトレ メキシカン グリル,CMG,2024-08-16,0,0,0,0,0,1,,,,,68.96551724137932,3.75930693434069,,,,,,,,,,,,
チャブ,CB,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
チャーチ アンド ドワイト,CHD,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シグナ グループ,CI,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シンシナティ ファイナンシャル,CINF,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シンタス,CTAS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シスコ システムズ,CSCO,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シティグループ,C,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
シチズンズ ファイナンシャル グループ,CFG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
クロロックス,CLX,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CME グループ,CME,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CMS エナジー,CMS,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コカ-コーラ,KO,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コグニザントテクノロジーソリューション A,CTSH,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コルゲート パルモリーブ,CL,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コムキャスト,CMCSA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コメリカ,CMA,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
コナグラ ブランズ,CAG,2024-08-16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
