Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,1547,2024-07-05,9708.0,9745.0,9745.0,168.2,2.0,58.2,0.9,-1.6,72.1,45.0,75.6,74.9,251.4,66.2,0,0,0,0,0,0
大和ハウス工業,1925,2024-07-05,4133.0,4296.0,4718.0,-33.2,5.3,-40.6,1.0,-2.4,49.1,42.7,53.7,47.5,133.1,68.8,0,0,0,0,0,0
積水ハウス,1928,2024-07-05,3596.0,3736.0,3736.0,-6.5,3.6,-17.1,1.5,-1.9,54.6,43.0,58.1,51.4,104.8,58.8,0,0,0,0,0,0
エムスリー,2413,2024-07-05,1506.0,1686.0,3755.0,-34.5,1.7,-1.5,-0.5,-4.6,39.5,36.7,41.7,40.5,152.5,50.5,0,0,0,0,0,0
アサヒグループホールディングス,2502,2024-07-05,5612.0,5951.0,6001.0,-6.1,-4.5,6.7,-0.9,-2.7,47.5,41.4,43.3,47.5,151.9,57.0,0,0,0,0,0,0
キリンホールディングス,2503,2024-07-05,2089.0,2233.5,2305.0,-28.5,0.4,-17.6,-0.4,-2.3,42.8,39.9,41.0,40.0,86.0,61.8,0,0,0,0,0,0
味の素,2802,2024-07-05,5803.0,6008.0,6279.0,-17.5,3.6,-11.1,0.8,-2.2,51.4,42.7,52.6,49.2,167.8,65.2,0,0,0,0,0,0
日本たばこ産業,2914,2024-07-05,4434.0,4622.0,4622.0,9.2,-2.0,-8.0,-0.1,-1.8,53.0,40.3,49.5,51.6,142.5,59.3,0,0,0,0,0,0
セブン＆アイ・ホールディングス,3382,2024-07-05,1986.5,2078.0,2244.5,-18.3,0.9,-15.5,0.7,-2.3,46.8,43.5,49.1,42.4,99.7,67.2,0,0,0,0,0,0
東レ,3402,2024-07-05,749.3,816.8,845.7,-2.2,0.1,2.8,-0.8,-2.5,48.5,41.5,44.7,48.3,106.6,64.0,0,0,0,0,0,0
旭化成,3407,2024-07-05,1010.5,1060.5,1169.0,-7.8,0.7,-11.3,-0.8,-2.6,44.9,40.7,44.5,46.2,73.9,62.1,0,0,0,0,0,0
信越化学工業,4063,2024-07-05,6476.0,6495.0,6926.0,52.6,8.8,-26.7,3.1,-2.5,58.8,44.0,66.3,57.4,132.4,58.3,0,0,0,0,0,0
三菱ケミカルグループ,4188,2024-07-05,915.8,926.8,987.3,10.3,2.1,2.2,2.6,-2.6,59.2,40.4,66.0,59.6,213.0,57.6,0,0,0,0,0,0
花王,4452,2024-07-05,6616.0,7039.0,7064.0,-28.9,-6.7,-6.3,-0.1,-2.1,49.4,40.0,44.8,44.3,133.3,60.1,0,0,0,0,0,0
武田薬品工業,4502,2024-07-05,4244.0,4248.0,4873.0,2.8,3.8,7.6,1.4,-2.2,56.0,39.5,62.0,53.8,156.9,57.3,1,0,0,0,0,0
アステラス製薬,4503,2024-07-05,1613.0,1614.0,2360.5,8.1,1.7,18.3,2.0,-2.7,57.5,39.0,64.9,56.7,139.1,62.7,0,0,0,0,0,0
塩野義製薬,4507,2024-07-05,6231.0,7314.0,8137.0,-205.7,11.3,-158.8,0.1,-2.7,38.2,39.6,39.6,35.8,51.5,62.9,0,0,0,0,0,1
中外製薬,4519,2024-07-05,6211.0,6023.0,6697.0,184.8,22.7,55.5,8.4,-3.0,71.7,39.7,81.3,70.5,172.4,58.3,0,0,0,1,0,0
エーザイ,4523,2024-07-05,6449.0,7110.0,11250.0,-16.0,1.1,70.5,-1.6,-3.5,47.5,37.4,44.8,49.5,70.3,53.1,0,0,0,0,0,0
小野薬品工業,4528,2024-07-05,2191.0,2298.5,2966.5,-16.0,2.3,-5.3,-0.5,-2.6,45.2,38.6,46.8,47.1,113.7,68.8,0,0,0,0,0,0
テルモ,4543,2024-07-05,2746.0,2766.0,3014.5,-12.9,3.2,-18.2,3.8,-2.9,55.1,40.6,59.9,49.2,231.1,63.2,0,0,0,0,0,0
第一三共,4568,2024-07-05,5750.0,5848.0,5848.0,43.0,3.2,27.0,2.9,-3.4,58.8,40.2,60.5,54.7,88.9,62.4,0,0,0,0,0,0
大塚ホールディングス,4578,2024-07-05,6950.0,6936.0,6936.0,79.6,13.4,19.9,3.0,-2.3,62.7,40.6,68.4,60.2,191.9,66.3,0,0,0,1,1,0
オリエンタルランド,4661,2024-07-05,4608.0,4647.0,5765.0,-8.6,3.5,1.2,2.1,-2.6,52.6,40.7,60.2,50.6,184.5,66.0,0,0,0,0,0,0
ＬＩＮＥヤフー,4689,2024-07-05,392.4,401.3,503.5,3.0,0.0,2.5,1.4,-4.0,54.2,37.4,57.7,54.3,95.7,49.9,0,0,0,0,0,0
富士フイルムホールディングス,4901,2024-07-05,3870.0,3888.0,3888.0,61.0,2.1,28.4,2.5,-2.3,66.8,41.0,72.7,65.4,126.0,60.8,0,0,0,0,0,0
