Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN
繝ｭ繝ｼ繝,6963,2024-07-19,0,0,0,0,0,0,100.0,10.4302343183142,,,,,,,,,,,,,,
繝吶Λ繧､繧ｾ繝ｳ 繧ｳ繝溘Η繝九こ繝ｼ繧ｷ繝ｧ繝ｳ繧ｺ,VZ,2024-07-19,0,0,0,0,0,0,33.33333333333333,-0.8029411215925133,50.0,-0.5171299047489324,43.39622641509434,0.058537030455867,56.66666666666666,1.124166143812534,40.909090909090914,-0.4841694854584545,32.33082706766917,-4.948400382491991,28.33333333333333,-3.7010507277685294,14.285714285714285,-3.1120474837791696
