Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign
上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,1547,2024-07-19,9565.0,9925.0,9925.0,147.4,-10.5,34.2,-1.1,-1.6,57.1,45.1,50.8,65.8,181.6,66.4,0,0,0,0,0,0
大和ハウス工業,1925,2024-07-19,4262.0,4331.0,4718.0,14.4,6.6,-14.1,1.3,-2.4,55.3,42.7,61.6,56.8,183.6,68.8,0,0,0,0,0,0
積水ハウス,1928,2024-07-19,3860.0,3900.0,3900.0,44.7,8.8,6.9,3.3,-1.9,66.0,43.0,74.5,64.2,183.8,58.8,0,0,0,0,0,0
エムスリー,2413,2024-07-19,1578.5,1683.0,3755.0,-7.6,3.2,16.8,1.0,-4.6,47.9,36.7,54.5,50.4,135.4,50.5,0,0,0,0,0,0
アサヒグループホールディングス,2502,2024-07-19,5832.0,5951.0,6001.0,-3.9,5.6,13.7,1.7,-2.7,55.2,41.4,57.5,51.5,144.5,57.0,0,0,0,0,0,0
キリンホールディングス,2503,2024-07-19,2149.5,2232.5,2305.0,-10.6,2.3,-11.1,0.9,-2.3,50.9,40.4,54.3,48.5,87.2,62.3,0,0,0,0,0,0
味の素,2802,2024-07-19,6224.0,6281.0,6281.0,72.6,9.8,38.8,2.4,-2.2,60.1,42.8,64.7,59.5,158.1,65.3,0,0,0,0,0,0
日本たばこ産業,2914,2024-07-19,4450.0,4622.0,4622.0,-4.9,-0.2,-18.7,0.6,-1.9,53.6,40.7,52.7,49.3,115.5,60.7,0,0,0,0,0,0
セブン＆アイ・ホールディングス,3382,2024-07-19,1801.0,2078.0,2244.5,-33.8,-4.1,-29.8,-3.2,-2.3,31.2,43.3,25.6,32.9,57.0,66.9,0,1,1,0,0,1
東レ,3402,2024-07-19,793.0,814.0,845.7,3.2,1.2,4.7,1.9,-2.5,57.7,41.6,60.9,55.6,105.5,64.1,0,0,0,0,0,0
旭化成,3407,2024-07-19,1060.0,1072.5,1169.0,4.2,1.3,-4.4,0.9,-2.6,53.5,40.9,57.5,54.8,76.7,62.5,0,0,0,0,0,0
信越化学工業,4063,2024-07-19,6733.0,6840.0,6926.0,146.3,5.9,21.0,1.4,-2.5,61.2,44.0,65.7,65.7,147.4,58.3,0,0,0,0,0,0
