Name,Code,Date,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,MACD_Win Rate [%],MACD_SQN,RSI_Win Rate [%],RSI_SQN,EMA_diff_Win Rate [%],EMA_diff_SQN,VR_Win Rate [%],VR_SQN,MAX52w_Win Rate [%],MAX52w_SQN,BB2_Win Rate [%],BB2_SQN,stochastic_Win Rate [%],stochastic_SQN,tsumitate_Win Rate [%],tsumitate_SQN,MAX30d_Win Rate [%],MAX30d_SQN
ＨＯＹＡ,7741,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ＫＤＤＩ,9433,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ＳＭＣ,6273,2024-07-19,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
アステラス製薬,4503,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
キーエンス,6861,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
セブン＆アイ・ホールディングス,3382,2024-07-19,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,
ソニーグループ,6758,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ソフトバンクグループ,9984,2024-07-19,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
ダイキン工業,6367,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
トヨタ自動車,7203,2024-07-19,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,
ファナック,6954,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
みずほフィナンシャルグループ,8411,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
リクルートホールディングス,6098,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
伊藤忠商事,8001,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
花王,4452,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
三井住友フィナンシャルグループ,8316,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
三井物産,8031,2024-07-19,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
三菱ＵＦＪフィナンシャル・グループ,8306,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
三菱商事,8058,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
信越化学工業,4063,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
村田製作所,6981,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
第一三共,4568,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
東京エレクトロン,8035,2024-07-19,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,
東京海上ホールディングス,8766,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ニデック,6594,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
日本電信電話,9432,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
日立製作所,6501,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
任天堂,7974,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
武田薬品工業,4502,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
本田技研工業,7267,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
ローム,6963,2024-07-19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
