Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-10-10,2024-10-10,14.224,90.5576462538488,0.594805398821574,0.9211190627291632,0.5548944677522325,-5.010844780601742,532 days 00:00:00,49,61.224489795918366,24.28765264586159,-10.681586978636826,3.844873042047614,181 days 00:00:00,69 days 00:00:00,2.5005437354440243,4.337055318210084,2.9421032738190966,"EMA_diff(tp=10, n=10, sl=7, duration=180, size=100)"
2019-10-10,2024-10-10,19.744,90.5576462538488,0.5741112194713736,0.8982365773013059,0.5991298265243775,-6.318631206449965,232 days 00:00:00,49,73.46938775510205,24.28765264586159,-16.212438853948285,5.404134379144376,181 days 00:00:00,97 days 00:00:00,4.264373626677666,5.827898085146091,4.500835987780035,"EMA_diff(tp=10, n=10, sl=12, duration=180, size=100)"
2019-10-10,2024-10-10,18.822,90.5576462538488,0.406782718708546,0.6205374685743079,0.3949117943060862,-9.167564936193884,794 days 00:00:00,102,55.88235294117647,25.13661202185793,-16.539923954372625,2.455336254169782,149 days 00:00:00,64 days 00:00:00,1.8477101671547085,3.008722213138725,2.423501485360608,"EMA_diff(tp=10, n=20, sl=7, duration=180, size=100)"
2019-10-10,2024-10-10,31.666,90.5576462538488,0.432559475644115,0.6830637406586889,0.5572954093604578,-10.473908684644272,387 days 00:00:00,102,74.50980392156863,25.13661202185793,-16.539923954372625,4.425092031468592,181 days 00:00:00,100 days 00:00:00,3.2551482302525483,4.899966427447593,4.390025718901264,"EMA_diff(tp=10, n=20, sl=12, duration=180, size=100)"
2019-10-10,2024-10-10,13.844,90.5576462538488,0.2777371741996445,0.4166679980051397,0.1999234898097727,-13.554606510605872,834 days 00:00:00,125,51.2,24.965893587994547,-16.061185468451246,1.333830226071142,173 days 00:00:00,62 days 00:00:00,1.4952765657715206,1.7841756348592888,1.8555375157980591,"EMA_diff(tp=10, n=30, sl=7, duration=180, size=100)"
2019-10-10,2024-10-10,23.82,90.5576462538488,0.3243990687922115,0.5015850472339287,0.4323376999239773,-10.419085210123058,353 days 00:00:00,125,66.4,24.965893587994547,-16.581469648562297,2.540195397096312,174 days 00:00:00,90 days 00:00:00,2.192901984807703,2.956013028692398,3.3472699463777102,"EMA_diff(tp=10, n=30, sl=12, duration=180, size=100)"
2019-10-10,2024-10-10,10.646,90.5576462538488,0.2538664213250056,0.3812042891407176,0.1785671707527069,-11.805902951475732,880 days 00:00:00,49,51.02040816326531,25.80426684727395,-13.21022727272727,2.3999500976062293,182 days 00:00:00,125 days 00:00:00,1.9557099591530207,2.9807945676053067,1.914247644047789,"EMA_diff(tp=20, n=10, sl=7, duration=180, size=100)"
2019-10-10,2024-10-10,16.566,90.5576462538488,0.3124184131574039,0.4768069949121828,0.2666068948734693,-12.04611056976338,880 days 00:00:00,49,63.26530612244898,25.80426684727395,-16.212438853948285,4.050043216403254,182 days 00:00:00,153 days 00:00:00,3.034559210459221,4.611358664808457,3.083819485320138,"EMA_diff(tp=20, n=10, sl=12, duration=180, size=100)"
2019-10-10,2024-10-10,19.096,90.5576462538488,0.2425328010318765,0.3737519465278257,0.1803908608470252,-20.34254754139264,880 days 00:00:00,102,42.15686274509804,29.644808743169392,-16.539923954372625,2.1438530721686666,182 days 00:00:00,106 days 00:00:00,1.768638636625624,2.86078694461965,2.1513329219425934,"EMA_diff(tp=20, n=20, sl=7, duration=180, size=100)"
2019-10-10,2024-10-10,20.200000000000003,90.5576462538488,0.2447663912657208,0.3824479275742205,0.2529245242944078,-15.289388495606705,620 days 00:00:00,100,56.99999999999999,25.13661202185793,-16.314102564102562,2.812139211920739,182 days 00:00:00,115 days 00:00:00,2.334154763236062,3.368109115338372,2.748067362008416,"EMA_diff(tp=20, n=20, sl=12, duration=180, size=100)"
