Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-08-16,2024-08-16,1.7840000000000005,67.39049045301385,0.1003685067623975,0.139892196158708,0.0583645903552477,-6.2592370681046505,718 days 00:00:00,46,47.82608695652174,19.58997722095672,-21.84260131950989,0.1774915599466187,90 days 00:00:00,30 days 00:00:00,1.158693267658506,0.7172752797647158,0.2945265837618146,"EMA_diff(tp=10,n=10,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-5.944,67.39049045301385,0.0,0.0,0.0,-9.147193928500098,849 days 00:00:00,46,45.65217391304348,23.46241457858771,-22.608492767148856,-2.2093283440396294,123 days 00:00:00,48 days 00:00:00,0.7904365269734621,-1.3771115971402368,-0.7996121511467689,"EMA_diff(tp=10,n=10,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,-1.272,67.39049045301385,0.0,0.0,0.0,-13.010115773683603,670 days 00:00:00,78,46.15384615384615,18.656716417910445,-21.84260131950989,-0.2025279664933932,114 days 00:00:00,41 days 00:00:00,1.0641609652158792,0.2958077409709345,-0.1724334178987382,"EMA_diff(tp=10,n=20,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-11.06,67.39049045301385,0.0,0.0,0.0,-19.279011090740774,672 days 00:00:00,78,51.28205128205128,22.209165687426548,-23.81717960496096,-2.0972354662893267,135 days 00:00:00,63 days 00:00:00,0.8240942262551179,-1.1932439821925405,-1.1252211044669362,"EMA_diff(tp=10,n=20,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,16.104,67.39049045301385,0.3953319278087722,0.6561750311477319,0.2876614186474829,-10.870713330047176,323 days 00:00:00,101,53.46534653465347,26.76258992805756,-21.84260131950989,1.7819386063913978,104 days 00:00:00,42 days 00:00:00,1.604987757930071,2.3163434988857072,1.9171079680515413,"EMA_diff(tp=10,n=30,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,2.6,67.39049045301385,0.0495540986477276,0.0728079070224973,0.0351397022926197,-15.10319780317123,670 days 00:00:00,101,55.44554455445545,26.76258992805756,-25.39361223571749,-0.3096001934793202,124 days 00:00:00,57 days 00:00:00,1.100322264091938,0.5718975740821901,0.2450452065350284,"EMA_diff(tp=10,n=30,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,-9.492,67.39049045301385,0.0,0.0,0.0,-15.293939565949554,954 days 00:00:00,46,30.434782608695656,27.68115942028986,-22.608492767148856,-2.905769711254713,181 days 00:00:00,63 days 00:00:00,0.6873537126000645,-2.1154091265455315,-1.318185195000164,"EMA_diff(tp=20,n=10,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-23.086,67.39049045301385,0.0,0.0,0.0,-27.75684931506849,954 days 00:00:00,46,26.08695652173913,27.68115942028986,-25.64447433310917,-6.609286559802374,181 days 00:00:00,85 days 00:00:00,0.4616538612457903,-5.477211983133986,-2.65894890582061,"EMA_diff(tp=20,n=10,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,-3.82,67.39049045301385,0.0,0.0,0.0,-19.568489713999,670 days 00:00:00,79,32.91139240506329,29.36857562408224,-32.64998492613809,-0.9776945180553388,172 days 00:00:00,62 days 00:00:00,0.99116607485898,-0.0511325889969378,-0.4049435309051391,"EMA_diff(tp=20,n=20,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-20.068,67.39049045301385,0.0,0.0,0.0,-28.943017157080632,954 days 00:00:00,79,35.44303797468354,29.36857562408224,-32.64998492613809,-3.983086151523252,179 days 00:00:00,82 days 00:00:00,0.6907800142463566,-2.653890888553784,-1.7967511156870222,"EMA_diff(tp=20,n=20,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,-5.092,67.39049045301385,0.0,0.0,0.0,-25.74987091424012,631 days 00:00:00,101,37.62376237623762,28.052325581395344,-25.39361223571749,-1.0040732660495544,178 days 00:00:00,71 days 00:00:00,1.007798923149186,0.049556347590447,-0.4396216860802492,"EMA_diff(tp=20,n=30,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-26.39,67.39049045301385,0.0,0.0,0.0,-39.47740577517595,1067 days 00:00:00,101,37.62376237623762,28.052325581395344,-32.64998492613809,-4.343108952795904,178 days 00:00:00,79 days 00:00:00,0.6724788806568509,-2.9639972212719514,-2.0849732663168443,"EMA_diff(tp=20,n=30,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,-13.862,67.39049045301385,0.0,0.0,0.0,-20.362439453161528,954 days 00:00:00,46,28.26086956521739,30.57971014492753,-22.608492767148856,-3.950680561732223,182 days 00:00:00,76 days 00:00:00,0.542352223343931,-3.2274360327389355,-1.991898059047834,"EMA_diff(tp=30,n=10,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-27.916,67.39049045301385,0.0,0.0,0.0,-33.140278300112826,954 days 00:00:00,46,23.91304347826087,30.57971014492753,-25.64447433310917,-7.731689322462165,182 days 00:00:00,99 days 00:00:00,0.377464028343252,-6.68597247131884,-3.311587639479065,"EMA_diff(tp=30,n=10,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,-4.934,67.39049045301385,0.0,0.0,0.0,-19.81477420334351,954 days 00:00:00,78,32.05128205128205,34.06754772393539,-32.64998492613809,-1.112381546713881,182 days 00:00:00,77 days 00:00:00,1.0003951294792717,0.0024886864787989,-0.4814106383231261,"EMA_diff(tp=30,n=20,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-20.78,67.39049045301385,0.0,0.0,0.0,-32.48103639307934,954 days 00:00:00,78,33.33333333333333,34.06754772393539,-32.64998492613809,-4.088231095849382,182 days 00:00:00,98 days 00:00:00,0.7068391777252032,-2.599644030584437,-1.7820634631797587,"EMA_diff(tp=30,n=20,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,-5.022,67.39049045301385,0.0,0.0,0.0,-29.38018618207775,954 days 00:00:00,101,35.64356435643564,37.1641791044776,-25.39361223571749,-0.9326709809419632,182 days 00:00:00,83 days 00:00:00,1.0557715178595606,0.376266302362899,-0.3906792134391364,"EMA_diff(tp=30,n=30,sl=7,duration=180,size=100)"
2019-08-16,2024-08-16,-23.684,67.39049045301385,0.0,0.0,0.0,-42.01088112823318,1067 days 00:00:00,101,36.63366336633664,37.1641791044776,-32.64998492613809,-3.899743927136445,181 days 00:00:00,84 days 00:00:00,0.7371161699920301,-2.3413903541896564,-1.748923382051888,"EMA_diff(tp=30,n=30,sl=12,duration=180,size=100)"
2019-08-16,2024-08-16,4.17,67.39049045301385,0.4507956840987386,0.6247353524672266,0.1826117873931348,-4.633037045424526,1311 days 00:00:00,18,61.11111111111112,21.10340669279469,-12.926391382405743,3.5238179698960703,49 days 00:00:00,16 days 00:00:00,2.2156559350852154,4.060032019351806,1.0699018189142526,"VR(tp=10,n=10,sl=7,duration=180,size=100)"
