Start,End,Return [%],Buy & Hold Return [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Max. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
2019-10-04,2024-10-04,-1.306,113.32417582417582,0.0,0.0,0.0,-2.777339746116847,1116 days 00:00:00,48,41.66666666666667,18.62745098039216,-14.353219137625516,-0.419515824640071,181 days 00:00:00,77 days 00:00:00,1.0082397915863552,0.0358751901170605,-0.8486064460336683,"EMA_diff(tp=10, n=10, sl=7, duration=180, size=100)"
2019-10-04,2024-10-04,-1.36,113.32417582417582,0.0,0.0,0.0,-3.134149456681923,842 days 00:00:00,48,45.83333333333333,18.62745098039216,-17.472965281730225,-0.4599121780883619,183 days 00:00:00,101 days 00:00:00,1.0214526207036452,0.0978324710749415,-0.801553318912148,"EMA_diff(tp=10, n=10, sl=12, duration=180, size=100)"
2019-10-04,2024-10-04,-0.066,113.32417582417582,0.0,0.0,0.0,-4.080338266384775,1116 days 00:00:00,86,48.837209302325576,18.62745098039216,-15.451895043731778,0.9676899325960386,171 days 00:00:00,69 days 00:00:00,1.36559323404999,1.4594947130024454,-0.0332881955047671,"EMA_diff(tp=10, n=20, sl=7, duration=180, size=100)"
2019-10-04,2024-10-04,0.598,113.32417582417582,0.0501992765696218,0.0680685308780646,0.0271129334230651,-4.5375947707450575,846 days 00:00:00,86,54.65116279069767,19.88873435326844,-19.039642657733115,1.364951200788811,182 days 00:00:00,96 days 00:00:00,1.4964795965151998,1.9413313829041656,0.2694740352725944,"EMA_diff(tp=10, n=20, sl=12, duration=180, size=100)"
2019-10-04,2024-10-04,-1.86,113.32417582417582,0.0,0.0,0.0,-6.832604978149348,892 days 00:00:00,112,44.642857142857146,18.62745098039216,-16.570771001150753,0.1310028841563726,182 days 00:00:00,73 days 00:00:00,1.1397251109458064,0.6065810897778907,-0.7882241836864864,"EMA_diff(tp=10, n=30, sl=7, duration=180, size=100)"
2019-10-04,2024-10-04,-4.252000000000001,113.32417582417582,0.0,0.0,0.0,-10.362014690451204,857 days 00:00:00,112,50.0,20.728291316526605,-19.84521835268104,-0.5071922287612551,182 days 00:00:00,101 days 00:00:00,1.033351582191707,0.1741344350776979,-1.381431666089397,"EMA_diff(tp=10, n=30, sl=12, duration=180, size=100)"
2019-10-04,2024-10-04,0.4,113.32417582417582,0.0541067140658384,0.0737458749565955,0.0268951733467741,-3.062151040358574,602 days 00:00:00,48,39.58333333333333,37.04630788485608,-14.353219137625516,1.5638464568932475,182 days 00:00:00,97 days 00:00:00,1.5326229264703055,2.4384832062981903,0.1991518429683983,"EMA_diff(tp=20, n=10, sl=7, duration=180, size=100)"
2019-10-04,2024-10-04,0.616,113.32417582417582,0.0699162253415386,0.0915851115522135,0.0348417740470314,-3.6370611931709207,589 days 00:00:00,48,43.75,37.04630788485608,-19.84521835268104,1.5565025741411054,183 days 00:00:00,124 days 00:00:00,1.526264925537541,2.5832843077684213,0.2697580774605557,"EMA_diff(tp=20, n=10, sl=12, duration=180, size=100)"
2019-10-04,2024-10-04,4.412,113.32417582417582,0.323598254293278,0.489761578676926,0.2206316154179629,-4.053432445859173,589 days 00:00:00,86,47.674418604651166,37.04630788485608,-15.451895043731778,3.7484891596127214,182 days 00:00:00,96 days 00:00:00,2.163032962463524,4.702195711027569,1.6595903656419173,"EMA_diff(tp=20, n=20, sl=7, duration=180, size=100)"
2019-10-04,2024-10-04,5.648000000000001,113.32417582417582,0.3492407669799518,0.5081328372648897,0.238135950816817,-4.784939443712433,649 days 00:00:00,86,52.32558139534884,37.04630788485608,-19.84521835268104,4.253518990531302,182 days 00:00:00,126 days 00:00:00,2.2876435674123363,5.333832780024952,1.880562832394314,"EMA_diff(tp=20, n=20, sl=12, duration=180, size=100)"
2019-10-04,2024-10-04,4.616,113.32417582417582,0.2903241609380702,0.4138726011465348,0.145252960776507,-6.436600558459227,651 days 00:00:00,112,45.535714285714285,35.68773234200744,-16.570771001150753,2.6784772835348303,182 days 00:00:00,96 days 00:00:00,1.8341799161167736,3.5482144159638698,1.447400238854654,"EMA_diff(tp=20, n=30, sl=7, duration=180, size=100)"
2019-10-04,2024-10-04,2.618,113.32417582417582,0.123713068577431,0.1601545866576226,0.0548882052621874,-9.735401299227153,651 days 00:00:00,112,49.10714285714285,35.68773234200744,-19.84521835268104,2.0425773124914226,182 days 00:00:00,125 days 00:00:00,1.604097852473833,3.1658239144804314,0.6750317403873223,"EMA_diff(tp=20, n=30, sl=12, duration=180, size=100)"
2019-10-04,2024-10-04,1.568,113.32417582417582,0.1949239542385686,0.285484846620277,0.1099972404655948,-2.921511906358354,602 days 00:00:00,48,43.75,42.76401564537158,-14.353219137625516,2.656166687042316,182 days 00:00:00,103 days 00:00:00,1.8642458182448616,3.725695674624658,0.7587850640840764,"EMA_diff(tp=30, n=10, sl=7, duration=180, size=100)"
2019-10-04,2024-10-04,1.6760000000000002,113.32417582417582,0.1810431982288699,0.2540476568221294,0.1031867569971341,-3.32743564865019,589 days 00:00:00,48,43.75,42.76401564537158,-17.472965281730225,2.601812347745036,183 days 00:00:00,130 days 00:00:00,1.8138578041344395,3.865042059454568,0.7019967814875505,"EMA_diff(tp=30, n=10, sl=12, duration=180, size=100)"
